The Moscow Cup Sponsored by GAN
Best Single,12.68,Tanya Lee,Best AO5,17.73,Tanya Lee,"[12.68, 19.23, 16.19, 20.52, 17.78]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Cheryl,Jackson,20.64,14.22,18.19,"[19.4, 18.66, 14.22, 18.51, 17.41]",35,0
2nd,Maggie,Silver,19.77,16.37,17.93,"[16.55, 16.79, 20.15, 21.29, 16.85]",74,1
3rd,Kimberly,White,19.82,15.91,18.06,"[18.67, 16.05, 16.27, 'DNF', 19.24]",74,1
4th,Tanya,Lee,19.42,12.68,17.44,"[17.39, 13.44, 15.94, 21.37, 19.0]",100,5
5th,Antonio,Valencia,20.08,13.96,19.01,"[16.05, 17.05, 19.79, 20.77, 20.19]",54,1
6th,Eric,Graham,20.27,14.98,18.57,"[18.61, 18.1, 18.99, 16.23, 22.93]",70,0
7th,Brett,Hill,21.19,17.01,19.78,"[20.54, 20.82, 19.51, 19.29, 18.18]",74,1
8th,Jason,Martin,21.13,16.53,20.14,"[18.42, 20.04, 18.17, 21.96, 22.42]",65,0
9th,Kimberly,Williams,21.56,18.07,20.0,"[22.47, 18.73, 21.82, 18.19, 19.46]",49,1
10th,Stephanie,Cain,20.48,13.3,18.26,"[18.23, 17.53, 19.02, 15.6, 19.39]",74,1
11th,Jeanette,King,21.31,15.57,20.09,"[18.1, 22.25, 19.02, 19.0, 22.77]",76,4
12th,Denise,Harrison,22.11,19.0,21.32,"[20.81, 21.03, 21.3, 21.63, 25.48]",25,0
13th,Tracy,Kelley,22.06,16.12,19.99,"[18.23, 18.28, 21.02, 20.68, 26.62]",49,1
14th,Michelle,Hart,21.23,17.12,19.13,"[19.12, 18.89, 18.41, 19.37, 19.82]",70,0
15th,Donald,Dixon,21.48,16.71,20.85,"[21.2, 19.25, 22.1, 22.88, 16.71]",55,0
16th,Robert,Young,21.01,15.33,19.3,"[15.33, 18.57, 21.92, 17.4, 22.41]",52,3
17th,Robert,Andrews,20.28,16.19,18.82,"[16.19, 17.53, 19.59, 19.34, 20.39]",64,6
18th,David,Heath,21.21,17.2,19.48,"[21.48, 18.78, 17.24, 18.18, 22.69]",35,0
19th,Mark,Williams,21.27,17.02,19.86,"['DNF', 20.11, 19.13, 18.38, 20.34]",38,2
20th,Conor,Evans,21.9,14.67,19.08,"[25.06, 18.2, 19.61, 19.43, 18.21]",54,1
21st,Scott,Bryant,21.69,17.11,20.24,"[22.7, 19.6, 21.52, 17.11, 19.6]",56,4
22nd,Daria,Buchkovsky,20.87,16.33,19.12,"[16.33, 21.01, 18.8, 18.04, 20.53]",39,1
23rd,Elizabeth,Williams,21.32,17.6,20.56,"[21.56, 23.37, 20.48, 19.07, 19.63]",55,0
24th,Emerson,Tichenor,20.94,15.47,19.33,"[20.53, 19.42, 16.6, 20.97, 18.05]",65,0
25th,Clinton,Buck,21.83,17.3,20.69,"[19.78, 22.83, 18.15, 22.16, 20.12]",34,1
26th,Michele,Cordova,22.34,19.0,21.87,"[23.25, 22.06, 20.32, 23.11, 20.43]",35,0
27th,Sheila,Johnson,22.82,18.47,21.81,"[23.88, 18.55, 18.47, 23.01, 25.85]",25,0
28th,Sarah,Torres,22.13,18.06,20.35,"['DNF', 20.47, 18.09, 20.74, 19.83]",43,2
29th,Jessica,Lane,21.33,18.32,20.15,"[21.12, 19.59, 20.32, 20.53, 18.32]",34,1
30th,Sarah,Underwood,21.7,17.87,20.35,"[18.94, 23.12, 21.52, 20.6, 18.67]",45,0
