The Moscow Cup Sponsored by GAN
Top 32 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,17.73,"[12.68, 19.23, 16.19, 20.52, 17.78]"
2nd,Kimberly,White,18.57,"[18.89, 18.14, 21.28, 18.68, 17.98]"
3rd,Maggie,Silver,18.92,"[17.09, 17.53, 20.1, 21.0, 19.14]"
4th,Mark,Williams,19.86,"['DNF', 20.11, 19.13, 18.38, 20.34]"
5th,Eric,Graham,19.87,"[22.11, 16.29, 19.45, 23.09, 18.05]"
6th,Stephanie,Cain,19.95,"[17.39, 20.86, 19.5, 19.49, 20.97]"
7th,Antonio,Valencia,19.97,"[20.37, 19.21, 19.99, 23.92, 19.56]"
8th,Kimberly,Williams,20.0,"[22.47, 18.73, 21.82, 18.19, 19.46]"
9th,Tammy,Powers,20.05,"[23.6, 21.9, 19.52, 17.79, 18.72]"
10th,Jeanette,King,20.13,"[19.78, 25.69, 18.88, 18.76, 21.74]"
11th,Jason,Martin,20.15,"[20.91, 21.02, 20.79, 18.76, 18.68]"
12th,Jessica,Lane,20.15,"[21.12, 19.59, 20.32, 20.53, 18.32]"
13th,Conor,Evans,20.39,"[21.35, 26.2, 20.48, 19.35, 17.53]"
14th,David,Heath,20.4,"[20.83, 20.6, 24.96, 19.76, 18.39]"
15th,Robert,Andrews,20.47,"[20.85, 22.58, 19.69, 20.88, 18.02]"
16th,Emerson,Tichenor,20.5,"[21.18, 18.68, 25.48, 20.05, 20.26]"
17th,Elizabeth,Williams,20.63,"[21.01, 21.85, 19.45, 21.42, 19.24]"
18th,Michelle,Hart,21.07,"[23.35, 20.96, 20.18, 21.84, 20.41]"
19th,Scott,Bryant,21.08,"[21.04, 20.75, 21.82, 21.45, 17.42]"
20th,Cheryl,Jackson,21.16,"[22.97, 19.64, 22.76, 20.31, 20.41]"
21st,Robert,Young,21.19,"[17.8, 23.42, 20.08, 'DNF', 20.07]"
22nd,Sarah,Underwood,21.19,"[21.14, 21.23, 21.2, 21.96, 20.7]"
23rd,Daria,Buchkovsky,21.22,"[21.52, 24.13, 22.18, 19.96, 19.56]"
24th,Tracy,Kelley,21.22,"[24.17, 19.67, 20.57, 19.03, 23.41]"
25th,Brett,Hill,21.23,"[20.93, 20.3, 22.04, 20.73, 22.61]"
26th,Amanda,Davis,21.72,"[22.18, 20.59, 20.97, 22.2, 22.02]"
27th,Donald,Dixon,21.78,"[20.77, 23.41, 21.17, 23.75, 20.3]"
28th,Denise,Harrison,21.89,"[22.53, 19.82, 22.87, 21.3, 21.85]"
29th,Sarah,Torres,22.11,"[21.85, 20.52, 'DNF', 23.97, 18.58]"
30th,Sheila,Johnson,22.15,"[23.56, 21.18, 22.15, 23.13, 21.08]"
31st,Michele,Cordova,22.22,"[23.57, 19.0, 22.25, 20.84, 27.24]"
32nd,Clinton,Buck,22.29,"[22.33, 19.66, 21.62, 23.16, 22.93]"
33rd,David,Long,22.29,"[22.39, 21.85, 22.62, 21.08, 24.17]"
34th,Julia,Lamb,22.32,"[20.27, 19.67, 24.7, 22.49, 24.19]"
35th,Jacob,Garcia,22.38,"[25.23, 18.6, 24.02, 21.23, 21.9]"
36th,Alexis,Valentine,22.44,"[22.52, 19.24, 23.57, 23.4, 21.41]"
37th,James,Howard,22.5,"[19.91, 21.73, 21.09, 25.47, 24.69]"
38th,Terrance,Fowler,22.52,"[25.46, 19.7, 22.97, 17.75, 24.89]"
39th,Alyssa,Murillo,22.56,"[21.54, 22.15, 24.0, 21.18, 'DNF']"
40th,Daniel,Mendoza,22.59,"[21.89, 20.41, 22.06, 23.83, 25.45]"
41st,Bill,Meadows,22.69,"[23.33, 23.86, 'DNF', 19.5, 20.88]"
42nd,Christopher,Kim,22.8,"[23.73, 22.93, 21.32, 22.67, 22.79]"
43rd,Andrew,Bradford,22.88,"[23.45, 23.04, 24.32, 20.09, 22.16]"
44th,Timothy,Mcconnell,22.88,"[18.6, 23.47, 22.38, 24.26, 22.8]"
45th,William,Hill,22.9,"[23.32, 22.97, 21.1, 22.42, 24.78]"
46th,Steven,Carpenter,22.97,"[23.92, 22.11, 23.34, 23.45, 16.05]"
47th,George,Wright,23.06,"[22.15, 25.71, 22.64, 24.38, 19.69]"
48th,Henry,Hunter,23.41,"[25.17, 22.85, 24.39, 21.46, 22.99]"
49th,Ryan,Stoyko,23.71,"[23.05, 20.11, 21.3, 26.78, 'DNF']"
50th,Kayla,Johnson,24.08,"[24.3, 26.29, 20.28, 25.87, 22.07]"
