Season 1 Championship in Manhattan
Best Single,13.32,Tanya Lee,Best AO5,18.1,Tanya Lee,"[21.41, 15.15, 16.25, 18.35, 19.71]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Cheryl,Jackson,20.56,14.22,18.19,"[19.4, 18.66, 14.22, 18.51, 17.41]",45,0
2nd,Tanya,Lee,19.39,12.68,17.44,"[17.39, 13.44, 15.94, 21.37, 19.0]",140,5
3rd,Robert,Young,20.85,15.33,19.3,"[15.33, 18.57, 21.92, 17.4, 22.41]",61,4
4th,Antonio,Valencia,20.03,13.96,19.01,"[16.05, 17.05, 19.79, 20.77, 20.19]",69,1
5th,Kimberly,White,19.84,14.85,18.06,"[18.67, 16.05, 16.27, 'DNF', 19.24]",83,2
6th,Maggie,Silver,19.93,16.37,17.93,"[16.55, 16.79, 20.15, 21.29, 16.85]",94,1
7th,Jeanette,King,21.36,15.57,20.09,"[18.1, 22.25, 19.02, 19.0, 22.77]",96,4
8th,Alyssa,Murillo,21.02,16.17,18.81,"[17.32, 21.45, 19.68, 17.01, 19.44]",88,2
9th,Robert,Andrews,20.4,16.19,18.82,"[16.19, 17.53, 19.59, 19.34, 20.39]",73,7
10th,Stephanie,Cain,20.46,13.3,18.26,"[18.23, 17.53, 19.02, 15.6, 19.39]",84,1
11th,Steven,Carpenter,21.84,16.05,21.12,"[18.68, 22.78, 24.69, 19.12, 21.45]",39,1
12th,Daria,Buchkovsky,21.14,16.33,19.12,"[16.33, 21.01, 18.8, 18.04, 20.53]",53,2
13th,Julia,Lamb,21.46,17.62,19.25,"[18.91, 21.55, 18.97, 17.62, 19.86]",55,0
14th,David,Heath,21.14,17.2,19.48,"[21.48, 18.78, 17.24, 18.18, 22.69]",45,0
15th,Eric,Graham,20.5,14.98,18.57,"[18.61, 18.1, 18.99, 16.23, 22.93]",80,0
16th,Jason,Martin,21.22,16.53,20.14,"[18.42, 20.04, 18.17, 21.96, 22.42]",75,0
