The Bangkok Cup Sponsored by GAN
Best Single,12.44,Tanya Lee,Best AO5,16.76,Tanya Lee,"[19.41, 14.67, 12.44, 21.95, 16.2]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Antonio,Valencia,19.42,16.78,18.11,"[17.93, 22.68, 18.64, 17.75, 17.13]",15,0
2nd,Tanya,Lee,19.23,12.44,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",49,1
3rd,Cheryl,Jackson,19.46,14.01,18.99,"[20.81, 18.33, 15.77, 20.65, 17.98]",15,0
4th,Kimberly,White,19.74,16.46,18.56,"[16.95, 22.96, 16.99, 16.85, 21.75]",30,0
5th,Robert,Young,20.06,15.17,18.87,"[15.17, 20.03, 16.5, 20.78, 20.09]",15,0
6th,Stephanie,Cain,20.65,18.14,20.42,"[22.32, 19.14, 'DNF', 19.8, 18.85]",13,2
7th,Julia,Lamb,21.11,17.27,20.24,"[21.93, 20.1, 22.81, 18.7, 18.37]",30,0
8th,Robert,Andrews,19.86,16.41,18.55,"[17.42, 19.98, 18.26, 16.41, 22.75]",20,0
9th,Timothy,Mcconnell,20.83,17.07,19.84,"[19.17, 20.44, 19.01, 19.92, 21.5]",15,0
10th,Eric,Graham,20.93,16.7,19.75,"[16.7, 21.82, 19.55, 18.0, 21.71]",24,1
11th,Ryan,Stoyko,21.54,17.87,19.96,"[20.2, 21.62, 20.18, 18.76, 19.51]",34,1
12th,Jeanette,King,21.37,17.56,21.29,"[20.77, 24.09, 21.66, 19.78, 21.44]",15,0
13th,Amanda,Davis,22.16,20.7,21.52,"[22.82, 21.19, 20.7, 20.75, 22.62]",20,0
14th,Brett,Hill,21.0,17.52,19.69,"[17.52, 20.66, 19.12, 20.0, 19.96]",30,0
15th,Mark,Williams,21.91,18.82,20.58,"[19.67, 19.89, 19.0, 22.18, 24.22]",35,0
16th,David,Heath,20.95,16.99,19.21,"[21.8, 18.05, 19.44, 16.99, 20.15]",34,1
17th,Jacob,Garcia,21.68,19.13,20.82,"[20.28, 21.35, 20.84, 21.57, 19.72]",25,0
18th,Jason,Martin,20.92,14.77,20.09,"[18.61, 22.55, 18.77, 18.96, 22.72]",15,0
19th,Alexis,Valentine,22.39,19.64,22.43,"[19.64, 21.54, 21.15, 24.59, 24.72]",15,0
20th,Christopher,Kim,22.09,19.83,21.48,"[20.13, 20.97, 22.61, 20.86, 22.91]",30,0
21st,Michelle,Hart,21.95,18.77,21.67,"[19.7, 'DNF', 22.42, 22.89, 18.77]",14,1
22nd,Andrew,Bradford,20.97,18.48,20.2,"[21.08, 19.31, 21.39, 18.48, 20.21]",23,2
23rd,Nathaniel,White,22.21,18.34,21.38,"[19.93, 24.47, 23.53, 19.66, 20.67]",15,0
24th,Daria,Buchkovsky,21.1,16.97,20.04,"[23.5, 17.35, 19.25, 21.72, 19.14]",29,1
25th,Bill,Meadows,20.81,17.76,19.24,"[18.77, 17.76, 20.15, 20.08, 18.87]",19,1
26th,Elizabeth,Williams,21.36,15.91,20.74,"[22.58, 15.91, 21.11, 19.13, 21.97]",20,0
27th,Maggie,Silver,20.2,17.43,19.17,"[19.4, 20.14, 18.52, 19.58, 17.43]",25,0
28th,Tiffany,Dixon,22.11,17.88,20.3,"[20.04, 20.19, 25.74, 19.15, 20.68]",23,2
29th,Denise,Harrison,22.19,18.3,21.34,"[18.3, 20.21, 21.02, 23.23, 22.78]",20,0
30th,Jessica,Lane,21.76,17.81,21.05,"[21.34, 21.01, 22.38, 19.29, 20.79]",23,2
31st,Nicole,Young,22.58,18.01,21.94,"[20.02, 22.38, 21.17, 22.27, 24.2]",20,0
32nd,Denise,Diaz,23.05,17.89,21.46,"[21.1, 21.05, 17.89, 22.22, 25.07]",20,0
33rd,Sarah,Underwood,21.49,17.84,21.28,"[21.36, 'DNF', 20.1, 22.39, 18.91]",14,1
34th,Gabrielle,Brock,22.69,19.07,22.22,"[20.02, 22.17, 22.62, 23.56, 21.87]",20,0
35th,Terrance,Fowler,22.31,17.14,22.28,"[21.21, 17.14, 23.23, 23.39, 22.39]",19,1
36th,Tracy,Kelley,22.62,17.87,22.27,"[25.18, 22.8, 23.03, 20.97, 20.8]",14,1
37th,Danielle,Knapp,22.96,20.19,21.87,"[21.13, 23.78, 20.19, 20.71, 24.85]",15,0
38th,Sheila,Johnson,21.68,18.93,20.89,"[20.53, 20.76, 23.91, 18.93, 21.39]",15,0
39th,Maria,Turner,22.56,17.98,20.06,"[23.88, 18.97, 17.98, 19.93, 21.28]",20,0
40th,Regina,Erickson,22.39,18.77,21.91,"[24.38, 22.57, 20.54, 20.05, 22.63]",20,0
41st,Brittany,Carroll,23.13,20.43,22.39,"[22.98, 21.75, 20.95, 26.59, 22.44]",20,0
42nd,Sarah,Torres,21.33,18.59,21.3,"[21.16, 21.57, 21.74, 18.59, 21.17]",13,2
43rd,Michele,Cordova,22.58,19.47,21.5,"[21.07, 22.13, 23.75, 19.47, 21.31]",20,0
44th,Alyssa,Murillo,21.48,18.75,20.15,"[19.73, 19.2, 20.98, 20.1, 20.62]",14,1
45th,Tammy,Powers,21.71,18.58,21.14,"[18.58, 20.53, 20.9, 22.28, 21.99]",15,0
46th,Anita,Buchanan,23.44,21.66,22.43,"[22.43, 25.39, 22.4, 22.01, 22.47]",20,0
47th,James,Wade,22.47,19.09,21.69,"[20.4, 22.87, 21.81, 19.44, 26.72]",20,0
48th,Emerson,Tichenor,22.26,18.34,20.0,"[21.53, 20.31, 19.34, 20.34, 18.34]",20,0
49th,Tony,Bell,23.99,18.06,22.43,"[22.42, 23.87, 20.99, 18.06, 24.14]",14,1
50th,Tiffany,Owens,22.13,17.61,21.59,"[21.96, 18.1, 22.6, 21.55, 21.25]",13,2
51st,George,Wright,21.64,19.72,21.37,"[21.11, 23.36, 21.59, 21.4, 20.78]",15,0
52nd,Chad,Thomas,22.02,18.82,21.58,"[22.55, 21.48, 20.89, 22.37, 20.81]",14,1
53rd,Karen,Hunter,23.19,21.26,22.39,"[22.92, 21.26, 21.77, 22.75, 22.66]",15,0
54th,Alexander,Stewart,23.67,19.42,22.41,"[21.24, 21.66, 23.81, 24.49, 21.75]",14,1
55th,Richard,Austin,23.37,20.39,22.03,"[20.77, 24.49, 20.39, 22.53, 22.78]",15,0
56th,Tracy,Snyder,22.75,19.01,22.05,"[19.01, 21.31, 22.73, 25.68, 22.12]",14,1
57th,James,Martin,22.79,20.14,22.07,"[23.8, 21.42, 23.02, 21.08, 21.78]",15,0
58th,Joel,Morris,22.48,20.47,21.35,"[20.8, 20.63, 22.52, 20.72, 23.96]",14,1
59th,David,Long,21.52,16.44,20.24,"[18.85, 21.92, 20.71, 21.16, 16.44]",14,1
60th,Jared,Preston,23.55,19.05,22.17,"[22.49, 25.08, 21.67, 22.34, 19.05]",14,1
61st,Karen,Castro,22.75,17.34,22.17,"[23.26, 20.05, 23.89, 21.17, 22.08]",15,0
62nd,Clinton,Buck,21.8,18.17,20.62,"[18.98, 23.69, 21.16, 20.17, 20.54]",15,0
63rd,Carol,Riley,23.07,19.68,22.23,"[19.68, 23.68, 21.39, 25.04, 21.62]",14,1
64th,Kayla,Johnson,21.5,19.34,20.76,"[20.8, 20.77, 20.7, 21.71, 19.34]",15,0
