The Bangkok Cup Sponsored by GAN
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Robert,Young,18.87,"[15.17, 20.03, 16.5, 20.78, 20.09]"
2nd,Cheryl,Jackson,18.99,"[20.81, 18.33, 15.77, 20.65, 17.98]"
3rd,Maggie,Silver,19.17,"[19.4, 20.14, 18.52, 19.58, 17.43]"
4th,David,Heath,19.21,"[21.8, 18.05, 19.44, 16.99, 20.15]"
5th,Antonio,Valencia,19.3,"[18.66, 18.77, 19.75, 19.37, 23.41]"
6th,Eric,Graham,19.75,"[16.7, 21.82, 19.55, 18.0, 21.71]"
7th,Kimberly,White,19.75,"[21.17, 17.52, 20.5, 19.85, 18.9]"
8th,Timothy,Mcconnell,19.84,"[19.17, 20.44, 19.01, 19.92, 21.5]"
9th,Emerson,Tichenor,20.0,"[21.53, 20.31, 19.34, 20.34, 18.34]"
10th,Maria,Turner,20.06,"[23.88, 18.97, 17.98, 19.93, 21.28]"
11th,Robert,Andrews,20.09,"[19.51, 20.62, 19.52, 20.13, 21.51]"
12th,David,Long,20.24,"[18.85, 21.92, 20.71, 21.16, 16.44]"
13th,Tiffany,Dixon,20.3,"[20.04, 20.19, 25.74, 19.15, 20.68]"
14th,Stephanie,Cain,20.42,"[22.32, 19.14, 'DNF', 19.8, 18.85]"
15th,Clinton,Buck,20.62,"[18.98, 23.69, 21.16, 20.17, 20.54]"
16th,Daria,Buchkovsky,20.68,"[19.63, 'DNF', 23.51, 18.9, 18.73]"
17th,Tanya,Lee,20.96,"[16.78, 21.89, 21.45, 20.61, 20.82]"
18th,Jason,Martin,21.12,"[21.99, 14.77, 21.54, 21.43, 20.38]"
19th,Tammy,Powers,21.14,"[18.58, 20.53, 20.9, 22.28, 21.99]"
20th,Julia,Lamb,21.24,"[22.52, 19.97, 22.9, 21.23, 19.71]"
21st,Denise,Harrison,21.34,"[18.3, 20.21, 21.02, 23.23, 22.78]"
22nd,Joel,Morris,21.35,"[20.8, 20.63, 22.52, 20.72, 23.96]"
23rd,Nathaniel,White,21.38,"[19.93, 24.47, 23.53, 19.66, 20.67]"
24th,Kayla,Johnson,21.41,"[22.8, 21.11, 20.32, 19.6, 23.99]"
25th,Denise,Diaz,21.46,"[21.1, 21.05, 17.89, 22.22, 25.07]"
26th,Brett,Hill,21.47,"[22.31, 21.78, 19.25, 20.88, 21.76]"
27th,Sheila,Johnson,21.49,"[18.97, 23.33, 20.73, 23.29, 20.45]"
28th,Michele,Cordova,21.5,"[21.07, 22.13, 23.75, 19.47, 21.31]"
