The Las Vegas Big Double in United States
Top 128 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Maggie,Silver,18.28,"[17.8, 18.95, 22.11, 17.27, 18.1]"
2nd,Robert,Young,18.47,"[18.4, 18.89, 19.71, 14.62, 18.12]"
3rd,Tanya,Lee,18.5,"[17.4, 15.65, 23.18, 16.37, 21.74]"
4th,Jacob,Garcia,18.64,"[19.58, 19.08, 19.03, 17.31, 17.8]"
5th,Cheryl,Jackson,18.92,"[16.41, 19.44, 'DNF', 18.38, 18.93]"
6th,Tammy,Powers,19.2,"[17.27, 19.3, 18.24, 22.78, 20.05]"
7th,Kayla,Johnson,19.91,"[22.0, 20.13, 18.61, 21.0, 18.42]"
8th,Jeanette,King,20.19,"[22.5, 22.0, 18.87, 19.03, 19.53]"
9th,Jason,Martin,20.19,"[20.13, 20.09, 20.34, 18.71, 22.22]"
10th,Antonio,Valencia,20.28,"[20.12, 16.44, 22.72, 19.13, 21.6]"
11th,Ryan,Stoyko,20.43,"[21.52, 19.74, 20.24, 20.62, 20.43]"
12th,Robert,Andrews,20.65,"[17.04, 18.76, 22.68, 22.04, 21.15]"
13th,Gabrielle,Brock,20.71,"[24.21, 20.27, 20.63, 19.63, 21.22]"
14th,Alexandria,Perez,20.74,"[18.72, 25.61, 23.33, 20.16, 17.06]"
15th,Bill,Meadows,20.85,"[18.97, 19.31, 21.54, 21.69, 22.07]"
16th,Timothy,Mcconnell,20.88,"[21.79, 21.35, 21.01, 20.0, 20.27]"
17th,Heather,Soto,20.91,"[23.38, 22.64, 18.38, 19.74, 20.34]"
18th,Amanda,Davis,21.05,"[19.97, 22.08, 19.81, 21.11, 22.27]"
19th,Kimberly,Williams,21.11,"[20.03, 20.28, 21.87, 21.18, 25.34]"
20th,Tracy,Kelley,21.14,"[18.73, 24.2, 24.17, 20.51, 18.33]"
21st,Sarah,Underwood,21.17,"['DNF', 20.87, 22.11, 19.21, 20.52]"
22nd,Elizabeth,Williams,21.23,"[17.61, 22.28, 22.53, 20.4, 21.0]"
23rd,Michelle,Hart,21.26,"[20.85, 21.84, 21.08, 23.23, 20.21]"
24th,Daria,Buchkovsky,21.31,"[21.4, 22.96, 19.75, 19.48, 22.78]"
25th,Alyssa,Murillo,21.31,"[18.53, 20.9, 22.73, 21.41, 21.61]"
26th,Steven,Carpenter,21.31,"[18.71, 20.74, 22.33, 24.1, 20.87]"
27th,Stephanie,Cain,21.32,"[20.35, 20.17, 23.54, 23.4, 20.21]"
28th,Eric,Miller,21.4,"[25.34, 18.64, 21.27, 21.04, 21.88]"
29th,Sheila,Johnson,21.42,"[23.57, 21.93, 20.72, 21.6, 20.53]"
30th,Clinton,Buck,21.47,"[21.17, 21.92, 21.33, 22.27, 20.94]"
31st,Anita,Buchanan,21.49,"[20.61, 20.95, 22.91, 19.19, 24.39]"
32nd,Brett,Hill,21.51,"[21.73, 'DNF', 20.71, 22.08, 18.9]"
33rd,Kimberly,Martin,21.59,"[21.42, 22.07, 24.85, 21.28, 20.99]"
34th,James,Howard,21.61,"[23.39, 20.0, 19.49, 27.2, 21.43]"
35th,William,Hill,21.63,"[21.6, 19.95, 20.72, 22.56, 'DNF']"
36th,Christina,Lee,21.66,"[24.09, 21.36, 21.48, 21.41, 22.1]"
37th,Victor,Francis,21.76,"[25.49, 21.43, 22.6, 19.98, 21.25]"
38th,Devon,Fisher,21.77,"[21.46, 21.05, 22.55, 21.3, 25.76]"
39th,Kirsten,Mendoza,21.78,"[21.68, 20.66, 25.95, 21.87, 21.78]"
40th,Denise,Harrison,21.78,"[22.52, 19.66, 20.23, 23.25, 22.59]"
41st,Christopher,Kim,21.79,"[20.89, 23.71, 20.97, 23.51, 20.39]"
42nd,Tiffany,Owens,21.81,"[23.32, 23.76, 19.05, 21.46, 20.64]"
43rd,Nathaniel,White,21.83,"[23.49, 25.09, 20.78, 21.21, 19.69]"
44th,Scott,Bryant,21.83,"[21.04, 19.63, 24.11, 20.35, 24.47]"
45th,David,Heath,21.84,"[21.52, 18.91, 21.69, 23.34, 22.32]"
46th,Eric,Graham,21.86,"[22.6, 21.53, 'DNF', 20.94, 21.45]"
47th,Jeremy,Fisher,21.87,"[21.88, 21.54, 19.65, 23.42, 22.19]"
48th,Sarah,Torres,21.88,"[23.08, 21.15, 21.69, 22.12, 21.83]"
49th,Karen,Castro,21.88,"[24.24, 22.63, 23.9, 19.0, 19.12]"
50th,Julia,Lamb,21.9,"[23.57, 19.95, 23.39, 21.02, 21.29]"
51st,Brittany,Obrien,21.91,"[21.97, 20.92, 27.96, 22.33, 21.42]"
52nd,Christine,Hicks,21.97,"[20.66, 23.35, 22.01, 18.64, 23.23]"
53rd,Joel,Morris,22.01,"[21.44, 20.26, 22.87, 23.93, 21.72]"
54th,Duane,Smith,22.06,"[25.15, 22.0, 19.05, 22.77, 21.4]"
55th,Cynthia,Silva,22.13,"[21.93, 23.17, 22.3, 19.34, 22.15]"
56th,Emerson,Tichenor,22.17,"[25.28, 21.38, 24.9, 20.22, 17.41]"
57th,David,Long,22.19,"[23.36, 22.52, 24.71, 20.7, 20.4]"
58th,Taylor,Roach,22.21,"[23.52, 22.74, 20.38, 17.55, 25.32]"
59th,Jared,Preston,22.23,"[23.36, 22.93, 20.95, 22.29, 21.47]"
60th,Donald,Levy,22.27,"[22.77, 22.92, 21.12, 25.55, 19.55]"
61st,Carol,Riley,22.33,"[22.03, 22.06, 22.61, 22.31, 26.41]"
62nd,Tracy,Snyder,22.34,"[22.65, 22.82, 21.44, 27.68, 21.54]"
63rd,Henry,Hunter,22.35,"[22.34, 22.01, 23.79, 18.48, 22.71]"
64th,Kimberly,White,22.37,"[18.23, 23.72, 21.05, 22.91, 23.16]"
65th,Jessica,Lane,22.4,"[22.79, 20.13, 21.01, 23.61, 23.41]"
66th,Andrew,Bradford,22.41,"[21.9, 20.88, 23.1, 22.66, 22.66]"
67th,Steven,Martinez,22.44,"[22.4, 23.93, 22.64, 20.75, 22.28]"
68th,Jared,Hahn,22.47,"[21.8, 20.56, 23.2, 26.53, 22.42]"
69th,Brittney,Gonzalez,22.5,"[29.05, 20.74, 25.11, 20.66, 21.65]"
70th,Julia,Stone,22.53,"[23.26, 24.63, 22.07, 22.25, 19.94]"
71st,Bonnie,Barrett,22.6,"[26.09, 24.4, 19.49, 19.33, 23.92]"
72nd,Marissa,Scott,22.63,"[23.52, 23.62, 21.9, 21.99, 22.37]"
73rd,Kenneth,Barton,22.63,"[19.4, 22.7, 22.52, 22.68, 24.41]"
74th,Rebecca,Gonzalez,22.65,"[21.92, 23.69, 22.34, 27.68, 20.83]"
75th,Daniel,Mendoza,22.68,"[22.3, 21.33, 24.06, 23.6, 22.15]"
76th,Shelby,Contreras,22.69,"[24.14, 22.14, 21.8, 27.18, 18.03]"
77th,Maria,Turner,22.71,"[20.77, 28.22, 23.46, 22.89, 21.78]"
78th,Traci,Cox,22.75,"[24.35, 21.5, 22.41, 27.11, 19.83]"
79th,Felicia,Martinez,22.75,"[22.9, 22.85, 21.27, 24.64, 22.51]"
80th,Caitlin,Nolan,22.76,"[29.53, 23.03, 22.95, 19.1, 22.29]"
81st,Donald,Dixon,22.79,"[23.18, 22.29, 22.89, 20.74, 24.9]"
82nd,Sean,Moore,22.8,"[22.75, 21.3, 22.15, 23.49, 25.81]"
83rd,Tony,Bell,22.83,"[23.13, 22.13, 25.56, 22.56, 22.8]"
84th,David,Hamilton,22.84,"[23.05, 22.99, 22.49, 21.86, 24.83]"
85th,Chad,Thomas,22.89,"[22.18, 23.18, 22.66, 22.83, 23.18]"
86th,Douglas,Robinson,22.9,"[23.15, 23.78, 20.9, 21.78, 25.27]"
87th,George,Wright,22.9,"[23.96, 23.2, 20.58, 22.58, 22.92]"
88th,Thomas,Dalton,22.96,"[20.72, 27.33, 25.31, 22.64, 20.93]"
89th,Kayla,Moore,22.99,"[23.73, 25.08, 22.76, 22.47, 21.65]"
90th,Brooke,Hunter,22.99,"[20.76, 27.86, 24.21, 21.65, 23.12]"
91st,Justin,Santana,23.01,"[21.35, 23.81, 25.04, 21.9, 23.31]"
92nd,Regina,Erickson,23.02,"[23.68, 22.33, 25.55, 23.04, 21.08]"
93rd,Jeffrey,Turner,23.04,"[22.57, 22.04, 23.41, 23.15, 27.6]"
94th,Sarah,Hunt,23.06,"[24.9, 23.65, 20.69, 19.59, 24.83]"
95th,Gregory,Hood,23.06,"[22.56, 24.76, 22.87, 23.75, 19.97]"
96th,Isaiah,Norton,23.07,"[22.61, 20.85, 23.03, 23.63, 23.58]"
97th,Tiffany,Dixon,23.08,"[22.66, 23.56, 23.02, 18.05, 23.83]"
98th,Anna,Charles,23.14,"[24.89, 22.41, 22.97, 23.45, 22.99]"
99th,James,Wade,23.16,"[23.52, 23.08, 22.89, 20.97, 26.66]"
100th,Roberto,Parsons,23.18,"[25.13, 25.14, 22.11, 22.29, 21.89]"
101st,James,Miller,23.2,"[22.2, 29.43, 23.07, 21.65, 24.33]"
102nd,Allen,Cook,23.24,"[23.05, 22.86, 23.8, 21.5, 26.77]"
103rd,Justin,Santos,23.27,"[22.69, 23.35, 25.42, 23.76, 20.68]"
104th,Heather,Ali,23.28,"[19.43, 26.47, 22.53, 20.84, 'DNF']"
105th,Thomas,Gardner,23.29,"[23.04, 23.72, 21.28, 26.63, 23.1]"
106th,Daniel,Wade,23.31,"[23.77, 22.39, 20.22, 26.37, 23.76]"
107th,Eric,Meadows,23.32,"[23.54, 23.39, 23.46, 18.58, 23.12]"
108th,Alexis,Valentine,23.33,"[20.5, 22.6, 26.51, 25.72, 21.67]"
109th,Danielle,Knapp,23.35,"[25.51, 21.66, 23.23, 24.91, 21.9]"
110th,Michelle,Evans,23.37,"[26.4, 21.53, 25.17, 22.36, 22.57]"
111th,Denise,Diaz,23.39,"[18.47, 26.37, 25.15, 24.52, 20.5]"
112th,Richard,Austin,23.39,"[23.11, 26.45, 22.66, 23.82, 23.25]"
113th,Cheryl,Weaver,23.41,"[23.03, 24.78, 22.42, 25.97, 20.08]"
114th,Alexander,Stewart,23.46,"[23.97, 21.7, 22.41, 26.57, 24.01]"
115th,Lindsay,Reeves,23.48,"[26.07, 23.41, 23.04, 22.48, 24.0]"
116th,Christine,Moran,23.5,"[24.85, 22.27, 23.28, 23.87, 23.34]"
117th,Marcus,Nguyen,23.5,"[23.97, 24.63, 22.19, 24.02, 22.51]"
118th,Michele,Cordova,23.5,"[19.28, 23.68, 24.01, 23.17, 23.66]"
119th,Martha,Smith,23.51,"[25.07, 23.59, 22.28, 24.66, 20.22]"
120th,Andrew,Barnett,23.54,"[22.99, 23.98, 23.72, 23.92, 22.68]"
121st,Tyler,Roach,23.55,"[24.07, 21.31, 22.85, 23.73, 26.03]"
122nd,Krystal,Kane,23.55,"[25.22, 20.38, 22.43, 23.01, 'DNF']"
123rd,Nicole,Young,23.55,"[22.28, 24.36, 24.55, 24.0, 21.83]"
124th,Conor,Evans,23.56,"[20.74, 22.22, 24.72, 23.73, 26.93]"
125th,Kristen,Williams,23.58,"[23.91, 23.39, 26.52, 23.43, 22.56]"
126th,Cynthia,Hartman,23.59,"[25.44, 22.49, 23.74, 24.54, 20.43]"
127th,Keith,Henderson,23.59,"[23.36, 19.29, 26.36, 23.4, 24.0]"
128th,Karen,Hunter,23.6,"[27.58, 22.55, 23.08, 20.97, 25.16]"
129th,Kelly,Morris,23.61,"[21.02, 22.35, 24.88, 24.51, 23.98]"
130th,Kimberly,Cook,23.62,"['DNF', 25.29, 22.32, 23.26, 20.75]"
131st,Robert,Sims,23.62,"[26.81, 22.22, 24.55, 24.1, 20.27]"
132nd,Michael,Rodgers,23.63,"[25.15, 23.68, 23.66, 23.5, 23.56]"
133rd,Brittany,Carroll,23.63,"[23.38, 24.31, 20.79, 23.19, 25.05]"
134th,Nicole,Thompson,23.65,"[30.8, 23.41, 24.33, 23.22, 22.5]"
135th,Jennifer,Fuller,23.65,"[21.81, 23.64, 24.21, 29.28, 23.11]"
136th,Carlos,Thompson,23.67,"[22.43, 22.9, 23.92, 24.29, 24.2]"
137th,Aaron,Hall,23.68,"['DNF', 23.36, 24.67, 22.1, 23.02]"
138th,Susan,Cox,23.68,"[21.16, 23.91, 22.71, 24.43, 28.5]"
139th,Mariah,Bowers,23.68,"[20.82, 24.35, 24.31, 'DNF', 22.38]"
140th,Mary,Holt,23.7,"[22.79, 22.87, 23.81, 27.71, 24.43]"
141st,Michael,Davis,23.71,"['DNF', 21.01, 24.38, 24.55, 22.19]"
142nd,George,Mcguire,23.73,"[22.63, 24.31, 22.8, 24.07, 'DNF']"
143rd,Justin,Johnson,23.76,"[24.87, 22.79, 22.75, 24.49, 24.01]"
144th,Justin,Thomas,23.77,"[26.17, 23.1, 23.95, 20.04, 24.26]"
145th,Christopher,Garcia,23.79,"[24.18, 26.57, 20.21, 24.92, 22.26]"
146th,Lynn,Cohen,23.8,"[25.26, 22.24, 23.9, 21.13, 25.63]"
147th,James,Martin,23.82,"['DNF', 22.53, 18.69, 24.51, 24.42]"
148th,Keith,Mosley,23.82,"[23.55, 22.72, 26.01, 23.28, 24.63]"
149th,James,Horne,23.83,"[23.88, 23.99, 23.61, 19.48, 24.29]"
150th,Anthony,Smith,23.84,"[21.73, 24.43, 23.23, 27.45, 23.87]"
151st,Kristi,Reeves,23.84,"[24.21, 25.04, 23.27, 24.05, 22.83]"
152nd,April,Williams,23.86,"[22.53, 22.68, 23.88, 25.01, 27.54]"
153rd,James,Gamble,23.86,"[22.49, 25.98, 24.34, 21.34, 24.76]"
154th,Wendy,Herrera,23.88,"[25.42, 21.21, 23.54, 22.67, 28.78]"
155th,Rebekah,Williams,23.91,"[21.68, 26.01, 24.45, 23.56, 23.73]"
156th,Juan,Davis,23.92,"[22.65, 24.14, 23.09, 24.53, 24.63]"
157th,Suzanne,Weiss,23.94,"[21.99, 26.2, 26.41, 20.86, 23.63]"
158th,Lonnie,Green,23.95,"[23.99, 23.15, 19.37, 24.71, 24.76]"
159th,Paul,Norris,23.95,"[22.15, 26.92, 24.1, 25.39, 22.35]"
160th,Kyle,Bailey,24.0,"[25.17, 23.87, 23.67, 24.47, 21.84]"
161st,Rachel,Ramsey,24.03,"[22.47, 23.58, 24.16, 26.19, 24.34]"
162nd,Mark,Williams,24.05,"[19.04, 24.86, 22.97, 25.67, 24.33]"
163rd,Melissa,Mason,24.05,"[24.72, 23.49, 21.34, 24.55, 24.1]"
164th,Julie,Barr,24.06,"[23.1, 25.98, 22.43, 24.41, 24.67]"
165th,Sarah,Mendoza,24.1,"[20.68, 23.96, 25.87, 22.47, 27.35]"
166th,Christina,Kelly,24.12,"[24.37, 24.06, 26.41, 23.94, 21.73]"
167th,Katelyn,Douglas,24.13,"[24.54, 24.76, 26.81, 23.09, 19.11]"
168th,Yvonne,Ross,24.13,"[19.63, 25.05, 25.29, 23.04, 24.3]"
169th,Samantha,Smith,24.15,"[24.42, 24.3, 23.37, 24.22, 23.93]"
170th,Rebecca,Brown,24.16,"[23.64, 19.03, 28.38, 23.72, 25.13]"
171st,Brittany,Duffy,24.18,"[24.21, 25.06, 23.26, 22.15, 25.73]"
172nd,Austin,Carpenter,24.19,"[23.72, 20.5, 27.03, 23.4, 25.46]"
173rd,Kimberly,Wade,24.22,"[24.9, 23.3, 24.46, 27.39, 20.65]"
174th,Alicia,Graham,24.22,"[21.63, 24.47, 23.68, 24.51, 25.08]"
175th,Jessica,Wallace,24.24,"[26.85, 23.34, 26.15, 21.86, 23.24]"
176th,Nathaniel,Vargas,24.27,"[21.03, 25.09, 26.32, 24.37, 23.35]"
177th,Patricia,Ross,24.28,"[26.22, 27.53, 20.83, 21.35, 25.27]"
178th,Regina,Cook,24.29,"[24.27, 24.35, 24.26, 23.0, 25.43]"
179th,Jennifer,Brown,24.3,"[26.2, 26.36, 23.53, 23.18, 23.1]"
180th,Robin,Wells,24.3,"[20.33, 24.92, 'DNF', 25.93, 22.04]"
181st,Jason,Webster,24.3,"[23.77, 24.04, 25.09, 23.76, 26.62]"
182nd,Kayla,James,24.33,"[20.73, 25.29, 29.26, 21.8, 25.89]"
183rd,Kimberly,Wells,24.33,"[23.66, 23.1, 24.48, 27.4, 24.85]"
184th,Sonya,Michael,24.34,"[24.71, 23.62, 27.78, 23.43, 24.69]"
185th,Karen,Mayer,24.36,"[23.58, 26.39, 24.47, 24.03, 24.57]"
186th,Renee,Rogers,24.38,"[22.83, 27.41, 22.91, 29.33, 21.05]"
187th,Michael,Lee,24.39,"[23.41, 22.56, 25.7, 24.05, 26.4]"
188th,Anthony,Holmes,24.45,"[22.74, 22.84, 26.65, 23.85, 28.27]"
189th,James,Johnston,24.47,"[25.01, 24.85, 26.25, 22.81, 23.56]"
190th,Cory,Warner,24.47,"[25.1, 24.4, 23.92, 23.5, 27.69]"
191st,Christopher,Wu,24.51,"[25.55, 24.59, 26.35, 23.39, 22.9]"
192nd,Vanessa,Williams,24.52,"[24.9, 25.14, 24.82, 22.92, 23.83]"
193rd,Barbara,Peterson,24.53,"[23.71, 21.62, 25.25, 26.01, 24.63]"
194th,Charles,Wright,24.53,"[24.63, 23.64, 25.19, 27.28, 23.77]"
195th,Jeff,Miller,24.54,"[23.36, 25.23, 24.63, 26.1, 23.76]"
196th,Kelly,Knight,24.57,"[23.55, 29.73, 23.91, 26.24, 22.04]"
197th,Ryan,Clark,24.58,"[20.61, 29.08, 21.56, 24.61, 27.57]"
198th,Daniel,Phillips,24.59,"[25.36, 23.66, 30.71, 24.76, 23.02]"
199th,Cody,Jenkins,24.61,"[22.88, 22.42, 29.15, 25.37, 25.57]"
200th,Benjamin,Bowen,24.61,"[22.88, 27.1, 25.89, 22.68, 25.05]"
201st,Jonathan,Howe,24.67,"[24.06, 23.66, 25.45, 24.95, 25.01]"
202nd,John,Tran,24.69,"[25.26, 24.4, 24.42, 23.84, 25.41]"
203rd,Stephanie,Ward,24.72,"[26.77, 20.25, 24.89, 23.9, 25.36]"
204th,Jennifer,Bass,24.75,"[21.5, 29.31, 25.56, 19.34, 27.2]"
205th,Michelle,Boyle,24.75,"[23.08, 28.5, 25.24, 24.71, 24.3]"
206th,Nicole,Hendricks,24.75,"[25.18, 27.07, 21.65, 22.74, 26.34]"
207th,John,Fisher,24.76,"[26.83, 24.24, 25.53, 22.71, 24.52]"
208th,Elizabeth,Taylor,24.76,"[23.15, 25.57, 23.14, 25.97, 25.55]"
209th,Peter,Fox,24.77,"[25.57, 24.94, 24.29, 25.08, 23.87]"
210th,Brian,Daniel,24.8,"[24.67, 20.14, 26.0, 23.72, 27.97]"
211th,Paul,Potter,24.81,"['DNF', 26.82, 24.05, 23.57, 22.58]"
212th,Christina,Marshall,24.81,"[24.19, 24.49, 25.85, 23.91, 25.74]"
213th,Jade,Berg,24.83,"[23.18, 24.32, 26.07, 24.34, 25.82]"
214th,Randall,Campbell,24.83,"[21.58, 25.53, 24.7, 24.83, 24.97]"
215th,Ana,Mitchell,24.84,"[25.44, 23.82, 27.88, 23.75, 25.27]"
216th,Gary,Le,24.85,"[28.33, 25.13, 24.87, 24.54, 23.64]"
217th,Kayla,Malone,24.89,"[24.29, 28.49, 23.63, 24.93, 25.46]"
218th,James,Dickson,24.9,"[26.09, 23.21, 25.89, 21.24, 25.6]"
219th,David,Nichols,24.93,"[27.55, 25.42, 23.92, 25.07, 24.3]"
220th,Sharon,Dickson,24.93,"[24.57, 25.8, 24.41, 23.77, 25.95]"
221st,Heidi,Grant,24.94,"[24.79, 23.93, 26.09, 22.15, 28.04]"
222nd,Whitney,Nicholson,24.94,"[25.79, 26.4, 22.18, 23.27, 25.76]"
223rd,Wendy,Reyes,24.94,"[24.53, 28.05, 23.53, 26.05, 24.25]"
224th,Steven,Meyer,24.95,"[27.44, 23.71, 24.7, 25.41, 24.74]"
225th,Bryan,Bishop,24.95,"[23.77, 26.11, 25.8, 25.28, 23.65]"
226th,Haley,Ryan,24.95,"[23.22, 17.64, 22.61, 29.89, 29.02]"
227th,Christina,Willis,24.97,"[25.31, 25.18, 24.42, 24.67, 25.06]"
228th,Heather,Manning,24.98,"[27.34, 26.95, 21.61, 19.82, 26.39]"
229th,Jennifer,Lewis,24.99,"[23.3, 25.53, 23.96, 25.93, 25.47]"
230th,David,Mcgee,25.04,"[25.4, 25.68, 21.84, 24.61, 25.12]"
231st,Stacy,Dodson,25.05,"[24.97, 27.05, 25.49, 24.7, 20.99]"
232nd,Tonya,Molina,25.07,"[24.69, 27.66, 18.65, 23.99, 26.52]"
233rd,John,Flores,25.1,"[26.96, 27.98, 23.54, 24.08, 24.26]"
234th,Kathleen,Nguyen,25.11,"[24.56, 22.69, 25.44, 25.86, 25.34]"
235th,Andrew,Gonzalez,25.14,"[27.33, 23.93, 23.65, 26.16, 25.33]"
236th,Patricia,Tyler,25.14,"[23.39, 25.35, 26.58, 27.07, 23.5]"
237th,Donna,Adams,25.15,"[23.87, 26.37, 25.2, 21.7, 29.28]"
238th,Lindsay,Harris,25.16,"[25.65, 25.2, 22.47, 24.63, 26.09]"
239th,Elizabeth,Henson,25.17,"[22.45, 26.74, 23.54, 30.05, 25.23]"
240th,Susan,Page,25.19,"[29.01, 20.85, 25.21, 24.5, 25.85]"
241st,Jennifer,Horne,25.21,"[26.82, 24.12, 25.42, 24.47, 25.75]"
242nd,Barry,Lewis,25.22,"[26.0, 24.07, 25.6, 26.37, 22.01]"
243rd,Paula,Mcgee,25.22,"[29.3, 25.65, 25.69, 24.33, 22.73]"
244th,Amy,Allen,25.26,"[27.1, 24.73, 25.34, 23.36, 25.72]"
245th,Anita,Butler,25.28,"[25.58, 26.57, 23.68, 22.78, 27.21]"
246th,Ashley,Hamilton,25.31,"[24.55, 23.58, 26.01, 25.38, 27.97]"
247th,Joseph,Harmon,25.32,"[25.73, 24.67, 23.14, 25.57, 26.32]"
248th,Kathleen,Ward,25.35,"[25.93, 25.53, 'DNF', 24.24, 24.6]"
249th,Tyler,Jennings,25.35,"[25.64, 24.06, 28.58, 26.36, 21.9]"
250th,Barbara,Thomas,25.36,"[24.2, 29.47, 27.4, 20.57, 24.48]"
251st,Diane,White,25.36,"[25.39, 24.42, 31.18, 26.26, 21.96]"
252nd,David,Garcia,25.37,"[25.92, 24.17, 26.02, 27.03, 23.81]"
