The Nagoya Big Double
Best Single,12.37,Conor Evans,Best AO5,17.28,Antonio Valencia,"[16.97, 'DNF', 16.6, 17.17, 17.69]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Kimberly,White,19.9,16.11,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",45,0
2nd,Robert,Young,20.55,15.39,18.15,"[16.66, 20.63, 18.91, 17.59, 17.94]",65,5
3rd,Antonio,Valencia,19.79,13.82,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]",90,5
4th,Jason,Martin,21.0,15.85,19.26,"[19.02, 20.2, 18.55, 21.34, 15.85]",94,1
5th,Conor,Evans,21.35,12.37,18.67,"[18.3, 24.57, 12.37, 15.25, 22.46]",47,3
6th,Cheryl,Jackson,20.38,14.52,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",68,2
7th,Stephanie,Cain,20.57,17.0,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",64,1
8th,Tanya,Lee,19.65,13.49,18.08,"[17.2, 21.69, 17.15, 13.49, 19.88]",70,0
9th,Jessica,Lane,21.87,16.13,20.43,"[21.04, 19.88, 20.91, 20.49, 18.84]",43,2
10th,Jacob,Garcia,21.52,14.14,19.73,"[23.69, 14.14, 18.48, 19.55, 21.16]",77,3
11th,Maggie,Silver,20.0,16.14,18.72,"[18.37, 18.17, 19.62, 17.44, 20.5]",73,2
12th,Elizabeth,Williams,21.19,16.07,19.85,"[20.98, 19.0, 16.07, 22.13, 19.56]",35,0
13th,Amanda,Davis,21.77,18.4,20.48,"[21.33, 20.76, 21.23, 19.45, 19.24]",49,1
14th,David,Heath,20.88,16.38,19.63,"[19.52, 19.51, 20.98, 17.47, 19.87]",55,0
15th,Tammy,Powers,22.28,17.12,21.02,"[21.61, 19.83, 21.38, 22.86, 20.06]",43,2
16th,Sarah,Underwood,21.71,17.5,20.73,"[20.59, 23.02, 21.15, 18.22, 20.46]",55,0
17th,Alyssa,Murillo,20.84,16.56,18.18,"[17.87, 19.2, 19.58, 17.01, 17.46]",69,1
18th,Jeanette,King,21.27,16.67,20.37,"[21.22, 19.57, 25.48, 18.14, 20.32]",54,1
19th,Tracy,Kelley,22.01,17.59,20.9,"[17.59, 24.42, 21.64, 20.78, 20.27]",32,3
20th,Daniel,Mendoza,22.74,17.51,21.6,"[20.41, 25.33, 19.44, 21.39, 22.99]",59,1
21st,Sarah,Torres,21.74,17.44,20.54,"[20.14, 21.26, 19.49, 23.76, 20.22]",55,0
22nd,Heather,Ali,22.26,17.88,20.48,"[21.74, 19.24, 21.06, 19.55, 20.82]",45,0
23rd,Robert,Andrews,20.2,15.96,18.66,"[19.28, 20.95, 16.83, 19.43, 17.26]",75,0
24th,Douglas,Robinson,23.36,14.77,21.48,"[20.06, 18.6, 26.33, 20.54, 23.84]",45,0
25th,Andrew,Barnett,23.25,19.94,22.67,"[20.62, 21.56, 25.46, 24.64, 21.82]",30,0
26th,David,Long,22.23,18.36,21.15,"[21.49, 21.19, 21.54, 20.78, 20.17]",40,0
27th,Taylor,Roach,23.59,20.95,22.66,"[21.55, 22.19, 23.05, 22.74, 24.19]",30,0
28th,George,Wright,22.03,18.17,20.95,"[20.3, 21.26, 24.47, 18.17, 21.28]",50,0
29th,Terrance,Fowler,23.11,17.22,21.52,"[26.52, 20.67, 17.28, 20.55, 23.34]",50,0
30th,Brett,Hill,20.95,15.98,19.35,"[19.49, 18.25, 20.34, 20.32, 18.24]",76,4
31st,Bill,Meadows,21.46,16.85,19.6,"[21.88, 20.16, 18.04, 18.61, 20.02]",63,2
32nd,William,Hill,22.3,18.33,21.07,"[21.1, 23.27, 21.83, 20.28, 19.05]",39,1
33rd,James,Wade,23.01,17.48,21.93,"[24.0, 17.48, 24.67, 21.68, 20.1]",55,0
34th,Scott,Bryant,21.81,16.82,20.1,"[19.98, 20.93, 18.7, 19.74, 20.59]",80,0
