The Nagoya Big Double
Top 128 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Antonio,Valencia,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]"
2nd,Robert,Andrews,19.03,"[17.98, 23.07, 20.74, 17.45, 18.38]"
3rd,Maggie,Silver,19.47,"[19.12, 20.04, 20.71, 18.01, 19.26]"
4th,Elizabeth,Williams,19.85,"[20.98, 19.0, 16.07, 22.13, 19.56]"
5th,Jason,Martin,19.88,"[21.1, 19.41, 16.97, 20.85, 19.38]"
6th,Brett,Hill,20.1,"[18.15, 18.92, 19.99, 21.4, 23.89]"
7th,Cheryl,Jackson,20.13,"[24.07, 18.39, 19.92, 15.69, 22.09]"
8th,Julia,Lamb,20.32,"[18.39, 21.31, 20.35, 24.88, 19.3]"
9th,Robert,Young,20.43,"[18.66, 'DNF', 20.48, 16.68, 22.14]"
10th,Tanya,Lee,20.46,"[18.07, 22.1, 18.21, 21.07, 23.27]"
11th,Kimberly,White,20.52,"[20.49, 18.7, 21.15, 20.84, 20.24]"
12th,Sarah,Torres,20.54,"[20.14, 21.26, 19.49, 23.76, 20.22]"
13th,Sarah,Underwood,20.73,"[20.59, 23.02, 21.15, 18.22, 20.46]"
14th,Heather,Ali,20.74,"[19.93, 20.81, 17.88, 23.18, 21.48]"
15th,Denise,Harrison,20.91,"[22.91, 22.93, 19.44, 20.37, 19.36]"
16th,Daria,Buchkovsky,20.96,"[20.26, 20.34, 21.76, 20.79, 24.04]"
17th,Stephanie,Cain,20.97,"[21.04, 20.22, 19.71, 21.65, 23.55]"
18th,Scott,Bryant,21.04,"[21.99, 20.56, 20.07, 23.68, 20.57]"
19th,Tracy,Kelley,21.14,"[19.99, 21.23, 21.04, 21.15, 23.77]"
20th,George,Wright,21.22,"[19.97, 18.49, 22.23, 21.47, 22.34]"
21st,Emerson,Tichenor,21.23,"[20.76, 26.09, 21.97, 20.97, 20.57]"
22nd,Eric,Graham,21.31,"[22.35, 22.49, 18.57, 23.41, 19.09]"
23rd,Brittany,Carroll,21.31,"[19.86, 21.85, 25.02, 20.82, 21.27]"
24th,Denise,Diaz,21.42,"['DNF', 20.0, 22.08, 22.17, 19.57]"
25th,Brooke,Hunter,21.55,"[17.26, 22.61, 19.68, 23.97, 22.36]"
26th,Jeanette,King,21.57,"[20.31, 24.36, 22.81, 21.59, 19.54]"
27th,Jacob,Garcia,21.57,"[21.87, 21.62, 19.63, 25.55, 21.22]"
28th,Daniel,Mendoza,21.6,"[20.41, 25.33, 19.44, 21.39, 22.99]"
29th,Michele,Cordova,21.63,"[26.11, 22.01, 21.75, 21.13, 20.61]"
30th,Jared,Preston,21.67,"[22.08, 21.6, 23.35, 21.32, 21.28]"
31st,Justin,Thomas,21.73,"[21.13, 24.8, 19.26, 'DNF', 17.94]"
32nd,Ryan,Clark,21.74,"[21.8, 19.95, 23.77, 20.21, 23.22]"
33rd,Maria,Turner,21.76,"[22.87, 22.25, 21.62, 20.72, 21.4]"
34th,Conor,Evans,21.77,"[20.16, 25.04, 18.87, 24.42, 20.74]"
35th,Anita,Buchanan,21.77,"[21.65, 23.84, 20.29, 20.27, 23.38]"
36th,Jessica,Lane,21.77,"[22.1, 19.38, 21.3, 'DNF', 21.92]"
37th,Terrance,Fowler,21.79,"[23.94, 29.65, 18.75, 19.0, 22.44]"
38th,Tammy,Powers,21.95,"[22.09, 17.12, 22.61, 25.8, 21.16]"
39th,Christopher,Kim,21.97,"[17.91, 21.06, 22.7, 22.67, 22.19]"
40th,Amanda,Davis,22.01,"[20.12, 21.62, 21.1, 23.3, 23.3]"
41st,William,Hill,22.03,"[21.61, 24.54, 20.91, 23.56, 19.95]"
42nd,Bill,Meadows,22.04,"[25.4, 22.34, 21.38, 22.39, 20.85]"
43rd,Steven,Carpenter,22.06,"[20.86, 19.67, 22.75, 22.58, 24.44]"
44th,Martha,Smith,22.08,"[21.8, 22.43, 22.02, 24.36, 20.8]"
45th,Elizabeth,Johnson,22.12,"[22.11, 23.04, 23.18, 20.39, 21.22]"
46th,Christine,Hicks,22.12,"[24.87, 19.91, 19.72, 22.79, 23.65]"
47th,David,Heath,22.13,"[18.98, 20.72, 22.07, 23.59, 23.81]"
48th,Kayla,Moore,22.14,"[22.56, 21.19, 22.68, 24.38, 19.93]"
49th,James,Wade,22.15,"[18.43, 21.84, 20.74, 24.22, 23.88]"
50th,David,Long,22.19,"[20.58, 21.01, 24.0, 22.65, 22.9]"
51st,Justin,Johnson,22.21,"[21.55, 21.33, 23.74, 24.48, 19.73]"
52nd,Alexis,Valentine,22.24,"[23.95, 22.23, 21.6, 22.9, 21.5]"
53rd,Tracy,Snyder,22.25,"[21.1, 22.99, 21.71, 23.55, 22.05]"
54th,Cheryl,Weaver,22.31,"[21.66, 24.18, 20.84, 22.67, 22.6]"
55th,Alexandria,Perez,22.31,"[23.45, 23.26, 22.31, 21.37, 21.0]"
56th,Chad,Thomas,22.32,"[21.43, 22.96, 22.39, 22.43, 22.15]"
57th,Whitney,Nicholson,22.34,"[22.44, 20.42, 21.52, 26.36, 23.06]"
58th,Ryan,Stoyko,22.35,"[22.43, 22.38, 22.23, 23.84, 19.95]"
59th,Nathaniel,White,22.38,"[23.6, 19.11, 21.84, 21.71, 25.06]"
60th,Julia,Stone,22.38,"[22.62, 22.62, 21.82, 21.91, 23.23]"
61st,Brittney,Gonzalez,22.39,"[22.83, 20.43, 24.96, 23.55, 20.79]"
62nd,James,Howard,22.39,"[20.04, 23.83, 22.36, 20.98, 23.91]"
63rd,Victor,Francis,22.39,"[22.43, 26.2, 22.24, 22.49, 20.56]"
64th,Duane,Smith,22.43,"[22.94, 22.49, 21.86, 24.26, 21.21]"
65th,Kayla,Johnson,22.47,"[22.4, 18.23, 23.79, 22.81, 22.2]"
66th,Sean,Moore,22.48,"[23.21, 22.06, 21.81, 24.31, 22.17]"
67th,Clinton,Buck,22.52,"[22.59, 22.46, 24.8, 22.52, 19.64]"
68th,Christopher,Wu,22.53,"[22.43, 22.51, 20.57, 22.66, 24.99]"
69th,David,Cook,22.61,"[21.61, 22.79, 26.78, 23.44, 20.27]"
70th,Donald,Levy,22.61,"[22.41, 22.87, 22.54, 22.98, 22.37]"
71st,Timothy,Mcconnell,22.62,"[23.11, 21.0, 23.1, 23.24, 21.66]"
72nd,Tiffany,Owens,22.62,"[26.68, 24.09, 20.78, 22.76, 21.01]"
73rd,Alyssa,Murillo,22.64,"[22.97, 20.44, 22.09, 22.86, 24.19]"
74th,Tiffany,Dixon,22.65,"[22.98, 20.09, 22.17, 22.79, 23.13]"
75th,Karen,Hunter,22.65,"[20.96, 30.08, 24.01, 22.98, 20.92]"
76th,Alexander,Stewart,22.67,"[18.87, 23.37, 23.24, 25.8, 21.41]"
77th,Bonnie,Barrett,22.73,"[22.56, 21.69, 25.99, 23.64, 21.99]"
78th,Suzanne,Weiss,22.74,"[21.45, 21.9, 21.93, 25.38, 24.39]"
79th,Regina,Erickson,22.74,"[23.96, 23.16, 21.1, 20.1, 25.0]"
80th,Douglas,Robinson,22.76,"[26.25, 23.17, 22.15, 22.4, 22.72]"
81st,Kimberly,Williams,22.8,"[22.49, 22.72, 24.11, 19.94, 23.19]"
82nd,Cynthia,Silva,22.82,"[27.71, 20.49, 21.86, 24.54, 22.05]"
83rd,Jeremy,Fisher,22.82,"[23.01, 21.52, 22.69, 23.73, 22.76]"
84th,Michelle,Hart,22.84,"[23.8, 20.3, 25.08, 19.84, 24.41]"
85th,Juan,Davis,22.85,"[19.29, 23.54, 25.71, 18.33, 26.6]"
86th,Susan,Cox,22.86,"[25.57, 20.63, 21.01, 'DNF', 22.0]"
87th,Henry,Hunter,22.89,"[20.86, 24.29, 22.4, 22.94, 23.34]"
88th,Michelle,Evans,22.95,"[21.31, 29.09, 21.89, 23.34, 23.61]"
89th,Kristen,Williams,23.0,"[22.47, 21.14, 28.22, 21.94, 24.6]"
90th,Charles,Wright,23.01,"[23.65, 28.93, 21.88, 23.51, 19.12]"
91st,Carlos,Thompson,23.01,"[19.74, 23.63, 21.91, 25.32, 23.48]"
92nd,Rebekah,Williams,23.01,"[24.89, 26.11, 23.77, 20.37, 19.83]"
93rd,Steven,Martinez,23.02,"[23.08, 22.19, 25.01, 21.02, 23.79]"
94th,Jennifer,Bass,23.03,"[23.81, 21.17, 22.95, 23.67, 22.48]"
95th,Austin,Carpenter,23.09,"[22.29, 20.98, 25.61, 23.6, 23.37]"
96th,Kayla,James,23.11,"[23.17, 24.5, 21.64, 22.02, 24.14]"
97th,Andrew,Barnett,23.13,"[23.62, 22.37, 22.51, 23.25, 24.95]"
98th,Eric,Meadows,23.13,"[22.57, 23.15, 23.55, 25.51, 22.7]"
99th,Taylor,Roach,23.13,"[23.12, 22.67, 23.61, 22.43, 25.15]"
