The MoYu Giza Invitational Cup
Best Single,13.58,Alyssa Murillo,Best AO5,17.38,Bradley Cross,"[16.28, 18.04, 17.83, 15.72, 20.24]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Maggie,Silver,19.19,17.04,17.84,"[17.46, 21.1, 18.87, 17.19, 17.04]",10,0
2nd,Antonio,Valencia,19.04,14.85,18.26,"[18.46, 15.01, 18.17, 18.16, 20.29]",29,1
3rd,Emerson,Tichenor,20.5,16.56,20.44,"[22.89, 17.9, 16.56, 21.33, 22.1]",15,0
4th,Robert,Young,19.9,16.68,18.18,"[19.08, 16.95, 18.2, 18.01, 18.32]",30,0
5th,Robert,Andrews,20.1,16.85,19.93,"[20.04, 19.97, 20.25, 16.85, 19.79]",15,0
6th,Bradley,Cross,18.82,14.79,17.38,"[16.28, 18.04, 17.83, 15.72, 20.24]",35,0
7th,Eric,Graham,19.6,15.55,18.27,"[21.42, 17.86, 18.46, 18.49, 15.55]",19,1
8th,Conor,Evans,20.06,15.18,20.08,"[19.27, 16.59, 23.29, 18.81, 22.16]",18,2
9th,Alyssa,Murillo,20.76,13.58,19.98,"[17.04, 21.95, 20.11, 23.68, 17.89]",30,0
10th,Bill,Meadows,20.7,17.31,19.85,"[20.99, 18.87, 19.69, 25.53, 17.31]",29,1
11th,Donald,Dixon,21.35,18.18,20.6,"[20.27, 21.76, 19.44, 23.58, 19.77]",30,0
12th,Jason,Martin,20.28,17.94,19.5,"[18.8, 20.61, 18.14, 21.79, 19.08]",15,0
13th,Jacob,Garcia,20.43,15.18,19.92,"[17.46, 18.51, 21.26, 19.99, 21.46]",25,0
14th,Cheryl,Jackson,20.1,16.72,18.37,"[17.04, 17.4, 21.4, 18.41, 19.3]",20,0
15th,Karen,Castro,21.54,18.39,21.04,"[18.39, 19.71, 23.51, 19.9, 25.11]",19,1
16th,Andrew,Bradford,21.07,17.15,20.03,"[23.66, 17.15, 19.25, 19.97, 20.87]",20,0
17th,Scott,Bryant,21.64,18.63,20.56,"[20.17, 19.39, 23.3, 22.13, 19.33]",20,0
18th,Stephanie,Cain,21.01,17.98,20.52,"[20.87, 17.98, 23.11, 18.45, 22.23]",14,1
19th,Michelle,Hart,20.35,14.27,19.48,"[21.4, 14.27, 17.84, 19.21, 21.79]",15,0
20th,Elizabeth,Williams,21.19,18.48,20.41,"[21.37, 19.81, 20.29, 21.14, 18.67]",15,0
21st,George,Wright,21.27,18.35,21.13,"[18.52, 22.63, 23.04, 20.55, 20.2]",20,0
22nd,David,Heath,20.98,19.05,20.09,"[20.93, 19.7, 21.68, 19.64, 19.11]",20,0
23rd,Tanya,Lee,19.18,14.67,18.67,"[20.77, 19.48, 18.01, 18.53, 15.64]",18,2
24th,Julia,Lamb,21.34,14.29,19.88,"[20.82, 21.62, 18.87, 14.29, 19.95]",14,1
25th,Jeanette,King,21.5,15.51,21.42,"[20.03, 18.25, 22.95, 21.28, 23.85]",15,0
26th,Anita,Buchanan,21.88,19.55,20.88,"[22.08, 20.82, 19.94, 21.19, 20.62]",13,2
27th,Amanda,Davis,21.3,18.96,21.43,"[22.1, 'DNF', 20.68, 21.39, 20.8]",13,2
28th,Nathaniel,White,22.04,18.6,21.53,"[23.64, 20.61, 22.56, 19.69, 21.43]",15,0
29th,Kayla,Johnson,20.51,17.42,19.73,"[21.67, 18.7, 18.82, 17.5, 23.44]",15,0
30th,Michael,Brown,20.55,16.59,20.21,"[20.55, 21.69, 18.38, 19.63, 20.44]",15,0
31st,Jessica,Lane,21.94,18.0,21.21,"[21.78, 21.94, 19.92, 23.69, 18.0]",15,0
32nd,David,Long,21.53,17.91,21.39,"[17.91, 21.83, 20.38, 23.84, 21.96]",15,0
33rd,Robin,Wells,21.51,17.31,21.84,"[24.74, 17.31, 24.44, 21.16, 19.93]",5,0
34th,Suzanne,Weiss,21.79,19.54,21.94,"[23.57, 22.27, 19.54, 20.3, 23.26]",5,0
35th,Tiffany,Dixon,22.1,20.82,21.94,"[20.82, 22.95, 20.85, 22.02, 23.88]",5,0
