The MoYu Giza Invitational Cup
Top 32 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Bradley,Cross,17.38,"[16.28, 18.04, 17.83, 15.72, 20.24]"
2nd,Tanya,Lee,18.67,"[20.77, 19.48, 18.01, 18.53, 15.64]"
3rd,Michelle,Hart,19.48,"[21.4, 14.27, 17.84, 19.21, 21.79]"
4th,Jason,Martin,19.5,"[18.8, 20.61, 18.14, 21.79, 19.08]"
5th,Kayla,Johnson,19.73,"[21.67, 18.7, 18.82, 17.5, 23.44]"
6th,Bill,Meadows,19.85,"[20.99, 18.87, 19.69, 25.53, 17.31]"
7th,Cheryl,Jackson,19.86,"[20.92, 16.72, 18.6, 20.31, 20.68]"
8th,Julia,Lamb,19.88,"[20.82, 21.62, 18.87, 14.29, 19.95]"
9th,Eric,Graham,20.09,"[16.1, 20.78, 18.57, 20.93, 'DNF']"
10th,Antonio,Valencia,20.1,"[20.8, 'DNF', 21.34, 18.16, 14.85]"
11th,Michael,Brown,20.21,"[20.55, 21.69, 18.38, 19.63, 20.44]"
12th,Maggie,Silver,20.22,"[20.26, 20.08, 20.32, 20.51, 19.08]"
13th,Elizabeth,Williams,20.41,"[21.37, 19.81, 20.29, 21.14, 18.67]"
14th,Emerson,Tichenor,20.44,"[22.89, 17.9, 16.56, 21.33, 22.1]"
15th,Stephanie,Cain,20.52,"[20.87, 17.98, 23.11, 18.45, 22.23]"
16th,Robert,Andrews,20.54,"[19.37, 21.14, 21.11, 21.58, 18.97]"
17th,Jacob,Garcia,20.73,"[22.52, 22.46, 20.13, 16.34, 19.59]"
18th,Anita,Buchanan,20.88,"[22.08, 20.82, 19.94, 21.19, 20.62]"
19th,David,Heath,21.05,"[19.05, 21.56, 19.64, 21.95, 23.23]"
20th,George,Wright,21.13,"[18.52, 22.63, 23.04, 20.55, 20.2]"
21st,Alyssa,Murillo,21.27,"[18.75, 25.67, 18.92, 19.55, 25.34]"
22nd,Karen,Castro,21.31,"[20.49, 'DNF', 20.55, 21.02, 22.37]"
23rd,Donald,Dixon,21.33,"[22.21, 24.59, 19.92, 20.13, 21.65]"
24th,Scott,Bryant,21.33,"[25.15, 18.63, 21.75, 22.24, 19.99]"
25th,David,Long,21.39,"[17.91, 21.83, 20.38, 23.84, 21.96]"
26th,Jessica,Lane,21.43,"[19.78, 22.25, 20.96, 25.92, 21.08]"
27th,Conor,Evans,21.46,"[21.57, 20.71, 22.09, 17.06, 'DNF']"
28th,Andrew,Bradford,21.53,"[21.33, 21.16, 22.29, 20.53, 22.11]"
29th,Nathaniel,White,21.53,"[23.64, 20.61, 22.56, 19.69, 21.43]"
30th,Amanda,Davis,21.57,"[21.43, 20.9, 22.38, 22.95, 19.97]"
31st,Robert,Young,21.71,"[18.59, 23.99, 22.41, 23.8, 18.93]"
32nd,Jeanette,King,21.82,"[23.83, 21.93, 19.29, 23.25, 20.27]"
33rd,Robin,Wells,21.84,"[24.74, 17.31, 24.44, 21.16, 19.93]"
34th,Suzanne,Weiss,21.94,"[23.57, 22.27, 19.54, 20.3, 23.26]"
35th,Tiffany,Dixon,21.94,"[20.82, 22.95, 20.85, 22.02, 23.88]"
36th,Clinton,Buck,22.07,"[21.27, 24.5, 23.62, 21.31, 19.92]"
37th,Stacey,Matthews,22.11,"['DNF', 20.18, 17.94, 23.32, 22.84]"
38th,Brett,Hill,22.14,"[22.93, 24.44, 19.16, 20.84, 22.65]"
39th,Daniel,Mendoza,22.2,"[22.08, 20.69, 'DNF', 23.61, 20.9]"
40th,Tracy,Kelley,22.23,"[24.82, 19.65, 17.84, 22.22, 'DNF']"
41st,Daria,Buchkovsky,22.26,"[21.89, 22.14, 18.1, 23.11, 22.74]"
42nd,Steven,Carpenter,22.4,"[21.36, 23.39, 22.55, 19.76, 23.28]"
43rd,Denise,Harrison,22.42,"[20.63, 21.97, 21.62, 24.95, 23.66]"
44th,Sheila,Johnson,22.5,"[21.54, 20.65, 23.29, 22.9, 23.07]"
45th,Ryan,Stoyko,22.79,"[23.47, 22.93, 20.78, 21.96, 24.35]"
46th,Peter,King,22.96,"[23.25, 23.49, 21.12, 23.31, 22.33]"
47th,Taylor,Roach,23.08,"[24.64, 23.18, 26.62, 21.41, 20.42]"
48th,Tammy,Powers,23.1,"[22.37, 22.46, 24.08, 23.48, 23.37]"
49th,Sarah,Underwood,23.21,"[21.31, 23.35, 23.19, 23.08, 24.19]"
50th,Henry,Hunter,23.75,"[20.9, 25.57, 24.78, 20.03, 'DNF']"
