The Manchester Big Double
Best Single,13.51,Tanya Lee,Best AO5,17.57,Robert Young,"['DNF', 13.83, 18.55, 18.42, 15.73]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Tanya,Lee,19.13,13.51,17.53,"[15.99, 18.34, 19.69, 16.85, 17.39]",30,0
2nd,Bradley,Cross,19.15,16.08,17.89,"[17.26, 16.26, 19.91, 'DNF', 16.5]",39,1
3rd,Antonio,Valencia,18.52,14.99,17.11,"[15.48, 18.71, 14.99, 17.14, 19.22]",35,0
4th,Jacob,Garcia,19.94,16.28,18.84,"[21.0, 17.67, 18.71, 20.14, 17.22]",34,1
5th,Maggie,Silver,20.44,16.86,19.83,"[19.72, 19.24, 18.91, 22.5, 20.54]",53,2
6th,Jeanette,King,20.82,17.03,19.16,"[17.83, 18.41, 19.3, 19.78, 22.31]",69,1
7th,Robert,Young,20.52,13.83,17.57,"['DNF', 13.83, 18.55, 18.42, 15.73]",53,2
8th,Brett,Hill,20.76,17.16,19.99,"[22.61, 20.06, 19.59, 18.61, 20.32]",34,1
9th,Peter,King,21.87,18.11,19.73,"[18.56, 23.15, 18.11, 18.44, 22.18]",34,1
10th,Michelle,Hart,21.43,16.87,21.01,"[20.06, 23.32, 25.19, 19.65, 17.81]",39,1
11th,Ryan,Stoyko,20.87,15.6,19.3,"[20.04, 18.87, 15.98, 19.9, 19.13]",50,0
12th,Emerson,Tichenor,20.87,16.59,17.93,"[17.61, 18.26, 17.91, 17.41, 19.64]",45,0
13th,Taylor,Roach,22.38,18.32,21.14,"[21.05, 24.22, 22.56, 19.27, 19.8]",44,1
14th,Anita,Buchanan,22.48,18.82,21.51,"[20.52, 22.23, 20.23, 21.77, 22.95]",25,0
15th,Eric,Graham,19.98,14.63,17.83,"[17.75, 15.28, 17.04, 24.27, 18.71]",52,3
16th,Tracy,Kelley,20.79,16.44,17.99,"[19.93, 16.44, 20.68, 16.45, 17.59]",60,0
17th,George,Wright,21.14,17.92,20.64,"[20.6, 19.95, 20.54, 20.77, 22.65]",50,0
18th,Scott,Bryant,21.42,17.72,20.36,"[20.98, 19.99, 20.12, 18.1, 22.97]",45,0
19th,Daria,Buchkovsky,20.62,14.93,18.96,"[16.21, 20.5, 18.85, 17.53, 21.3]",68,2
20th,Clinton,Buck,21.58,18.39,20.36,"[24.57, 18.67, 21.16, 19.06, 20.87]",34,1
21st,Cheryl,Jackson,19.87,14.43,19.53,"[22.85, 18.92, 20.7, 18.09, 18.97]",35,0
22nd,Michael,Brown,21.6,16.81,20.68,"[22.14, 23.3, 18.0, 18.66, 21.25]",30,0
23rd,Steven,Carpenter,21.01,17.97,19.52,"[19.1, 18.46, 21.31, 19.5, 19.97]",44,1
24th,Robert,Andrews,20.85,15.23,19.79,"[18.12, 21.44, 18.81, 21.69, 19.13]",34,1
25th,Allen,Cook,22.16,19.23,21.51,"[20.71, 21.59, 24.68, 21.88, 21.06]",49,1
26th,Sarah,Underwood,21.75,18.3,20.8,"[24.11, 19.29, 19.4, 22.31, 20.68]",39,1
27th,Bill,Meadows,21.2,18.16,20.4,"[19.48, 25.0, 19.8, 21.91, 18.16]",48,2
28th,Michele,Cordova,21.89,19.21,21.22,"[20.74, 20.66, 22.27, 23.04, 19.93]",25,0
