The Manchester Big Double
Top 128 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,17.9,"[18.95, 13.51, 17.62, 17.12, 19.73]"
2nd,Antonio,Valencia,18.14,"[18.22, 22.76, 17.02, 19.17, 15.74]"
3rd,Bradley,Cross,18.32,"[18.74, 22.06, 18.25, 17.91, 17.97]"
4th,Stephanie,Cain,18.38,"[19.51, 15.26, 15.54, 20.1, 21.6]"
5th,Jacob,Garcia,19.29,"[18.44, 19.82, 19.03, 19.62, 19.23]"
6th,Karen,Castro,19.65,"[21.52, 20.34, 19.84, 18.15, 18.76]"
7th,Jessica,Lane,19.73,"[20.57, 18.56, 17.33, 24.15, 20.07]"
8th,Peter,King,19.73,"[18.56, 23.15, 18.11, 18.44, 22.18]"
9th,Robert,Andrews,19.79,"[18.12, 21.44, 18.81, 21.69, 19.13]"
10th,David,Heath,19.93,"[20.8, 20.82, 20.06, 18.92, 17.55]"
11th,Brett,Hill,20.04,"[20.29, 19.7, 21.38, 20.14, 18.57]"
12th,Cheryl,Jackson,20.19,"[24.16, 19.67, 17.45, 19.75, 21.14]"
13th,Clinton,Buck,20.36,"[24.57, 18.67, 21.16, 19.06, 20.87]"
14th,Maggie,Silver,20.39,"[18.88, 20.03, 23.21, 20.18, 20.95]"
15th,Nathaniel,White,20.41,"[20.32, 20.42, 20.5, 23.9, 19.74]"
16th,Jeanette,King,20.45,"[19.53, 20.11, 20.62, 23.6, 20.63]"
17th,Donald,Dixon,20.55,"[21.81, 21.38, 19.56, 20.1, 20.17]"
18th,Conor,Evans,20.6,"[20.91, 21.49, 19.53, 21.37, 16.04]"
19th,Andrew,Bradford,20.61,"[23.91, 19.16, 18.75, 18.59, 25.72]"
20th,Duane,Smith,20.63,"[21.5, 20.61, 'DNF', 19.79, 18.56]"
21st,Robin,Wells,20.7,"[20.19, 22.53, 20.09, 21.0, 20.92]"
22nd,Jason,Martin,20.94,"[21.52, 19.84, 23.6, 19.88, 21.41]"
23rd,Sarah,Torres,20.99,"[24.39, 20.73, 21.31, 20.94, 20.0]"
24th,Kayla,Johnson,20.99,"[21.66, 20.55, 20.65, 20.67, 23.7]"
25th,George,Wright,21.13,"[20.31, 20.92, 21.22, 21.24, 21.24]"
26th,Henry,Hunter,21.14,"[27.14, 20.21, 20.09, 22.22, 20.98]"
27th,Denise,Harrison,21.18,"[24.41, 20.25, 19.35, 23.52, 19.77]"
28th,Terrance,Fowler,21.2,"[21.94, 21.13, 21.49, 20.98, 20.06]"
29th,Amanda,Davis,21.23,"[19.83, 20.28, 21.56, 21.85, 23.08]"
30th,Eric,Graham,21.25,"[20.04, 21.45, 19.89, 22.25, 'DNF']"
31st,Austin,Carpenter,21.35,"[22.17, 20.55, 24.32, 21.33, 20.17]"
32nd,James,Howard,21.35,"[18.84, 22.6, 21.4, 22.15, 20.49]"
33rd,Taylor,Roach,21.36,"[21.47, 20.79, 20.49, 23.1, 21.83]"
34th,Steven,Carpenter,21.4,"[21.62, 21.68, 20.91, 20.16, 24.63]"
35th,Alyssa,Murillo,21.41,"[20.14, 20.44, 22.48, 22.14, 21.66]"
36th,Michele,Cordova,21.42,"[21.39, 22.12, 21.7, 21.18, 20.41]"
37th,Tiffany,Owens,21.44,"[20.48, 22.67, 21.9, 21.01, 21.4]"
38th,David,Long,21.49,"[20.01, 21.69, 21.26, 21.52, 23.04]"
39th,Michelle,Hart,21.52,"[22.17, 25.15, 20.77, 19.72, 21.62]"
40th,Julia,Lamb,21.54,"[17.63, 22.27, 24.34, 20.98, 21.37]"
41st,Stacy,Roberson,21.62,"[23.39, 20.79, 20.11, 21.16, 22.91]"
42nd,Tony,Bell,21.64,"[20.42, 23.34, 21.94, 22.55, 17.44]"
43rd,Daria,Buchkovsky,21.65,"[22.75, 22.09, 20.38, 20.84, 22.01]"
44th,Lonnie,Green,21.65,"[19.45, 20.11, 27.96, 22.1, 22.73]"
45th,Robert,Young,21.72,"[19.54, 23.34, 22.3, 20.73, 22.13]"
46th,Sandra,Collins,21.78,"[20.8, 19.37, 24.27, 21.81, 22.74]"
47th,Aaron,Hall,21.8,"[22.28, 20.84, 21.29, 21.82, 23.33]"
48th,Daniel,Mendoza,21.8,"[22.21, 22.98, 23.42, 20.02, 20.21]"
49th,Heather,Ali,21.83,"[20.34, 22.0, 24.04, 21.73, 21.75]"
50th,Sarah,Underwood,21.85,"[24.65, 20.32, 22.18, 22.76, 20.61]"
51st,Brittany,Carroll,21.89,"[21.52, 21.45, 23.07, 22.7, 20.08]"
52nd,Christopher,Kim,21.89,"[22.91, 21.28, 21.48, 23.76, 20.87]"
53rd,Susan,Cox,21.92,"[19.59, 21.84, 23.96, 19.96, 24.36]"
54th,Julia,Stone,21.93,"[22.36, 21.17, 21.01, 22.25, 25.33]"
55th,Whitney,Nicholson,21.99,"[22.98, 21.35, 21.67, 18.65, 22.94]"
56th,Alexis,Valentine,22.0,"[20.05, 20.68, 26.26, 19.0, 25.27]"
57th,Nicole,Young,22.02,"[18.71, 22.95, 23.13, 24.41, 19.98]"
58th,Kimberly,Williams,22.07,"[23.32, 22.69, 20.21, 18.33, 23.89]"
59th,James,Martin,22.07,"[23.8, 22.75, 21.27, 22.2, 21.05]"
60th,Brianna,Gonzalez,22.07,"[21.21, 22.16, 18.62, 22.85, 22.86]"
61st,Ryan,Stoyko,22.09,"[19.99, 21.1, 23.04, 22.13, 26.58]"
62nd,Bill,Meadows,22.1,"[22.39, 21.38, 22.54, 20.7, 'DNF']"
63rd,Trevor,Benson,22.14,"[23.89, 21.57, 22.8, 22.04, 16.46]"
64th,Allen,Cook,22.17,"[22.15, 20.91, 23.58, 23.45, 19.93]"
65th,Jennifer,Bass,22.17,"[22.55, 22.78, 22.48, 17.84, 21.47]"
66th,Christine,Hicks,22.19,"[21.45, 22.66, 22.45, 18.47, 22.66]"
67th,Tammy,Powers,22.19,"[20.11, 26.56, 21.6, 23.72, 21.24]"
68th,Alexandria,Perez,22.22,"[19.25, 21.15, 21.57, 23.94, 24.08]"
69th,Tracy,Kelley,22.26,"[20.67, 26.82, 24.88, 21.22, 19.03]"
