The MoYu Louisville Cup
Best Single,13.96,Conor Evans,Best AO5,17.67,Tanya Lee,"[24.52, 15.11, 19.01, 15.53, 18.48]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Tanya,Lee,18.98,15.11,17.67,"[24.52, 15.11, 19.01, 15.53, 18.48]",10,0
2nd,Antonio,Valencia,19.29,15.93,18.47,"[18.32, 18.34, 15.93, 20.26, 18.75]",40,0
3rd,Bradley,Cross,19.06,17.35,18.59,"[17.35, 19.04, 18.86, 18.57, 18.34]",14,1
4th,Maggie,Silver,19.66,14.21,18.85,"[22.77, 18.09, 18.61, 17.72, 19.86]",39,1
5th,Julia,Lamb,21.48,18.78,21.02,"[22.12, 20.49, 18.78, 'DNF', 20.44]",13,2
6th,Ryan,Stoyko,20.84,17.79,20.62,"[22.58, 23.08, 19.79, 19.48, 18.44]",14,1
7th,Stephanie,Cain,20.84,17.52,19.61,"[24.41, 17.81, 22.95, 17.98, 17.91]",39,1
8th,Eric,Graham,20.34,15.45,19.79,"[19.82, 20.42, 19.13, 18.12, 20.83]",29,1
9th,Nathaniel,White,21.7,18.36,21.26,"[19.99, 18.36, 21.52, 22.26, 'DNF']",14,1
10th,Jacob,Garcia,19.76,17.51,19.16,"[17.51, 22.11, 18.7, 18.7, 20.08]",25,0
11th,Daria,Buchkovsky,20.76,16.3,20.06,"[19.37, 19.21, 20.58, 26.34, 20.22]",14,1
12th,Conor,Evans,21.48,13.96,20.19,"[13.96, 22.07, 25.68, 18.95, 19.55]",14,1
13th,Michelle,Hart,20.43,16.25,20.26,"[25.61, 20.89, 20.64, 18.71, 19.26]",20,0
14th,Steven,Carpenter,21.27,17.7,21.19,"[18.79, 22.83, 22.13, 20.82, 20.63]",29,1
15th,Suzanne,Weiss,22.27,18.82,21.16,"[21.43, 19.93, 22.12, 19.44, 23.13]",20,0
16th,Robert,Young,20.6,14.25,19.06,"[18.66, 19.61, 21.53, 18.91, 14.25]",20,0
17th,Tracy,Kelley,19.92,16.09,19.42,"[18.65, 20.28, 20.85, 19.32, 18.08]",23,2
18th,Cheryl,Jackson,20.05,14.5,18.48,"[16.29, 16.17, 18.84, 21.4, 20.32]",14,1
19th,Karen,Castro,21.86,19.44,21.34,"[19.73, 19.44, 22.86, 21.42, 23.85]",25,0
20th,Alexis,Valentine,21.64,17.75,20.17,"[19.42, 17.75, 18.42, 22.67, 24.07]",30,0
21st,Bill,Meadows,20.88,17.56,19.78,"[20.69, 23.13, 17.56, 21.04, 17.61]",26,4
22nd,Daniel,Mendoza,21.55,17.9,20.74,"[22.89, 18.26, 19.57, 19.76, 25.62]",28,2
23rd,Denise,Diaz,21.69,16.77,20.54,"[21.18, 23.3, 16.77, 18.64, 21.8]",29,1
24th,Brett,Hill,21.36,17.15,21.46,"[21.75, 21.91, 19.95, 21.37, 21.25]",15,0
25th,Tiffany,Dixon,20.46,15.23,20.11,"[19.59, 15.23, 20.51, 20.23, 21.02]",24,1
26th,Robin,Wells,21.92,19.09,21.1,"[20.89, 20.14, 20.68, 21.73, 22.38]",24,1
27th,Kayla,Johnson,21.62,17.27,20.5,"[17.27, 20.39, 23.5, 22.68, 18.42]",20,0
28th,Denise,Harrison,21.09,15.26,20.01,"[17.55, 22.09, 20.9, 18.88, 20.26]",20,0
29th,Michele,Cordova,21.75,16.79,21.26,"[23.89, 19.06, 23.15, 21.03, 19.61]",20,0
30th,Amanda,Davis,21.63,19.86,21.01,"[20.12, 22.97, 21.03, 19.86, 21.88]",24,1
31st,Regina,Erickson,22.86,18.42,21.83,"[23.63, 19.81, 20.29, 22.46, 22.73]",25,0
32nd,Chad,Thomas,21.51,17.79,19.56,"[20.12, 19.56, 23.7, 17.79, 19.0]",20,0
33rd,Michael,Brown,20.71,18.33,19.99,"[21.79, 20.38, 19.54, 20.05, 19.19]",14,1
34th,Kimberly,Williams,22.66,18.35,21.57,"[22.52, 19.84, 22.07, 24.63, 20.12]",15,0
35th,David,Heath,21.87,18.97,21.4,"[21.79, 21.24, 20.52, 25.24, 21.17]",15,0
36th,Christine,Hicks,22.42,18.72,21.88,"[23.04, 25.87, 20.29, 22.32, 20.03]",20,0
37th,George,Wright,21.23,18.17,20.79,"[19.56, 21.06, 21.75, 18.17, 22.67]",19,1
38th,Donald,Dixon,21.25,18.87,20.83,"[21.53, 21.32, 19.97, 20.15, 21.01]",15,0
39th,Robert,Andrews,21.02,16.86,20.83,"[21.4, 16.86, 20.58, 20.5, 22.39]",14,1
40th,Krystal,Kane,23.64,19.33,22.13,"[19.56, 25.78, 22.54, 24.3, 19.33]",19,1
41st,Trevor,Benson,21.83,18.77,20.38,"[22.72, 21.53, 19.96, 19.66, 18.77]",20,0
42nd,Danielle,Knapp,23.76,20.91,21.73,"[21.2, 25.12, 21.81, 22.18, 21.14]",18,2
43rd,Allen,Cook,22.31,17.65,21.65,"[23.51, 22.37, 20.12, 21.58, 20.99]",20,0
44th,Stacey,Matthews,22.71,18.45,21.87,"[21.2, 27.71, 21.24, 23.18, 20.48]",14,1
45th,Duane,Smith,22.02,18.92,22.0,"[24.12, 22.25, 18.92, 20.73, 23.01]",15,0
46th,James,Howard,22.22,19.14,21.43,"[21.38, 21.36, 22.22, 21.55, 20.92]",20,0
47th,Elizabeth,Williams,21.54,16.67,20.51,"[20.67, 22.02, 19.71, 20.77, 20.08]",15,0
48th,Christopher,Kim,21.91,19.55,21.12,"[20.5, 21.48, 21.37, 20.52, 22.16]",20,0
49th,Brittany,Carroll,22.5,18.89,22.29,"[24.94, 22.85, 21.32, 20.95, 22.69]",15,0
50th,Stacy,Roberson,22.24,19.14,21.4,"[20.65, 21.26, 22.28, 23.51, 19.14]",15,0
51st,Sarah,Torres,22.53,20.52,21.6,"[23.73, 20.52, 21.05, 21.37, 22.37]",15,0
52nd,Jeanette,King,21.83,20.02,20.88,"[21.63, 20.43, 23.99, 20.57, 20.12]",15,0
53rd,Marissa,Scott,23.2,20.57,22.21,"[22.77, 20.96, 22.91, 25.19, 20.57]",15,0
54th,Justin,Santos,24.29,19.38,21.68,"[21.91, 22.36, 25.43, 20.76, 19.38]",14,1
55th,Craig,Smith,23.28,20.49,22.13,"[20.99, 20.49, 22.14, 23.25, 23.69]",15,0
56th,Justin,Thomas,22.94,18.92,21.29,"[21.49, 24.59, 19.61, 18.92, 22.78]",15,0
57th,Andrew,Bradford,21.01,18.56,21.0,"[20.35, 18.56, 19.71, 22.94, 23.67]",13,2
58th,Caitlin,Nolan,23.67,19.41,22.11,"[22.71, 19.41, 21.94, 21.68, 'DNF']",14,1
59th,Whitney,Nicholson,22.14,18.18,21.09,"[24.02, 22.88, 21.14, 18.48, 19.26]",15,0
60th,Alexander,Stewart,22.64,20.58,22.03,"[25.29, 22.1, 22.64, 21.35, 20.58]",15,0
61st,Peter,King,21.28,19.22,20.36,"[20.25, 22.1, 20.51, 20.33, 20.14]",14,1
62nd,Sarah,Underwood,22.5,20.19,21.58,"[20.63, 21.89, 20.19, 22.53, 22.21]",15,0
63rd,Clinton,Buck,21.39,18.26,21.07,"[20.82, 21.1, 18.59, 21.3, 22.24]",15,0
64th,Carlos,Thompson,22.93,19.9,21.99,"[19.9, 21.31, 24.23, 21.08, 23.58]",13,2
65th,Martha,Smith,22.47,20.57,22.31,"[24.8, 20.57, 21.09, 22.82, 23.01]",5,0
66th,Alexandria,Perez,21.8,15.86,22.34,"[26.12, 20.93, 22.91, 23.18, 15.86]",5,0
67th,Jason,Martin,22.2,20.95,22.34,"[20.95, 21.82, 22.87, 23.02, 22.34]",5,0
68th,Taylor,Roach,22.12,18.52,22.35,"[18.52, 22.91, 22.02, 25.04, 22.13]",5,0
69th,Carol,Riley,21.95,18.69,22.38,"[23.95, 23.55, 18.69, 21.51, 22.08]",5,0
70th,Kelly,Morris,22.58,21.65,22.38,"[21.65, 21.65, 22.51, 22.98, 24.08]",5,0
71st,Terrance,Fowler,22.11,19.79,22.39,"[23.49, 23.57, 19.79, 23.3, 20.38]",5,0
72nd,Anita,Buchanan,21.98,18.28,22.42,"[20.38, 24.39, 22.98, 18.28, 23.91]",5,0
73rd,Tammy,Powers,22.57,20.59,22.42,"[23.37, 22.86, 20.59, 21.04, 24.98]",5,0
74th,Kimberly,Martin,22.88,19.55,22.46,"[19.55, 22.15, 23.46, 27.49, 21.76]",5,0
75th,Kayla,James,22.59,20.82,22.46,"[22.76, 23.26, 20.82, 24.75, 21.35]",5,0
76th,Sheila,Johnson,22.74,21.1,22.46,"[22.86, 21.1, 22.58, 21.94, 25.23]",5,0
77th,Alyssa,Murillo,22.51,21.17,22.49,"[22.24, 23.77, 23.92, 21.17, 21.47]",5,0
78th,James,Horne,22.1,18.97,22.52,"[22.92, 21.7, 22.95, 23.97, 18.97]",5,0
79th,James,Gamble,22.77,20.73,22.53,"[25.54, 22.77, 20.73, 20.83, 23.98]",5,0
80th,James,Wade,22.45,19.84,22.54,"[24.79, 22.45, 19.84, 24.79, 20.39]",5,0
81st,Angela,Jordan,22.46,19.53,22.55,"[20.32, 25.15, 24.01, 19.53, 23.32]",5,0
82nd,Kayla,Moore,22.71,19.31,22.6,"[22.66, 26.44, 19.31, 22.25, 22.9]",5,0
83rd,Heather,Soto,22.37,19.68,22.6,"[20.52, 23.34, 24.4, 19.68, 23.95]",5,0
84th,Scott,Bryant,22.19,19.65,22.62,"[23.42, 19.65, 22.76, 22.24, 22.85]",5,0
85th,Robert,Sims,22.79,21.7,22.63,"[23.2, 21.7, 22.63, 24.34, 22.05]",5,0
86th,Cynthia,Silva,22.75,20.66,22.66,"[25.09, 22.55, 22.18, 23.26, 20.66]",5,0
87th,Jeremy,Fisher,22.73,21.94,22.67,"[21.94, 22.06, 22.47, 23.69, 23.47]",5,0
88th,Edward,Johnson,23.4,21.79,22.8,"[23.47, 21.79, 26.76, 21.88, 23.06]",5,0
89th,Wendy,Herrera,23.08,20.72,22.82,"[26.19, 21.61, 20.72, 23.43, 23.42]",5,0
90th,Mark,Williams,21.94,16.32,22.89,"[24.7, 16.32, 24.1, 23.29, 21.28]",5,0
91st,James,Miller,23.3,20.82,22.91,"[20.82, 26.93, 21.89, 23.05, 23.79]",5,0
92nd,David,Long,23.01,22.14,22.93,"[22.14, 22.68, 24.11, 22.41, 23.69]",5,0
93rd,Jared,Preston,23.11,20.3,22.94,"[21.95, 20.3, 22.89, 23.98, 26.41]",5,0
94th,Karen,Hunter,22.33,20.45,22.96,"[20.45, 20.48, 26.48, 21.92, 'DNF']",4,1
95th,Jessica,Lane,22.59,20.02,22.98,"[21.71, 23.25, 23.99, 20.02, 23.97]",5,0
96th,Gregory,Hood,22.89,18.72,22.99,"[18.72, 22.18, 24.68, 22.1, 26.75]",5,0
97th,Kimberly,Cook,23.11,19.42,23.0,"[22.15, 23.39, 23.45, 19.42, 27.13]",5,0
98th,Corey,Smith,23.46,21.99,23.0,"[21.99, 23.29, 26.27, 22.35, 23.37]",5,0
99th,Heather,Ali,22.52,18.98,23.01,"[24.56, 23.58, 22.88, 22.57, 18.98]",5,0
100th,James,Martinez,22.91,20.97,23.07,"[23.97, 24.37, 20.97, 22.29, 22.96]",5,0
101st,Justin,Johnson,23.23,22.38,23.11,"[22.64, 24.44, 22.69, 22.38, 24.0]",5,0
102nd,Donald,Levy,23.61,21.43,23.12,"[27.25, 22.2, 23.31, 23.84, 21.43]",5,0
103rd,Nicole,Young,23.14,21.53,23.17,"[24.18, 23.5, 21.82, 21.53, 24.64]",5,0
104th,Kyle,Bailey,23.12,21.92,23.2,"[23.82, 24.08, 21.92, 22.02, 23.75]",5,0
105th,Julia,Stone,23.19,20.6,23.21,"[24.84, 21.58, 25.73, 20.6, 23.21]",5,0
106th,Keith,Mosley,23.18,22.25,23.25,"[22.89, 23.91, 22.25, 23.15, 23.72]",5,0
107th,Juan,Davis,22.74,19.16,23.26,"[23.08, 23.29, 24.77, 19.16, 23.4]",5,0
108th,Christina,Lee,23.06,18.76,23.27,"[22.31, 26.71, 24.01, 23.5, 18.76]",5,0
109th,Kimberly,Wade,23.72,22.23,23.31,"[22.69, 22.23, 26.46, 22.82, 24.42]",5,0
110th,Christina,Smith,24.21,22.8,23.33,"[23.12, 28.31, 22.8, 23.27, 23.59]",5,0
111th,Aaron,Hall,23.71,21.17,23.34,"[22.24, 22.12, 21.17, 27.37, 25.66]",5,0
112th,Eric,Burgess,23.09,20.09,23.36,"[23.43, 23.14, 20.09, 23.51, 25.31]",5,0
113th,Emerson,Tichenor,22.75,18.41,23.38,"[18.41, 22.71, 22.254, 25.21, 25.17]",5,0
114th,Bryan,Bishop,23.25,22.48,23.4,"[23.45, 22.48, 23.4, 23.36, 23.57]",5,0
115th,Gabrielle,Brock,23.15,19.95,23.43,"[23.98, 19.95, 24.79, 25.5, 21.53]",5,0
116th,Brooke,Hunter,22.99,19.46,23.44,"[24.24, 19.46, 25.13, 23.52, 22.57]",5,0
117th,Christopher,Wu,23.83,22.22,23.46,"[22.88, 23.6, 26.54, 22.22, 23.9]",5,0
118th,Elizabeth,Taylor,23.19,19.96,23.46,"[19.96, 24.3, 25.58, 22.94, 23.13]",5,0
119th,Jared,Hahn,23.57,20.98,23.47,"[26.47, 23.33, 20.98, 21.39, 25.7]",5,0
120th,Stephanie,Ward,23.3,21.15,23.48,"[24.93, 24.04, 23.83, 22.58, 21.15]",5,0
121st,Kathleen,Ward,23.48,21.28,23.52,"[23.7, 21.28, 23.27, 25.6, 23.58]",5,0
122nd,Cheryl,Weaver,23.73,22.54,23.53,"[25.54, 23.97, 23.97, 22.54, 22.64]",5,0
123rd,Michael,Davis,23.97,22.29,23.56,"[26.88, 22.65, 24.91, 23.11, 22.29]",5,0
124th,James,Cordova,23.68,21.2,23.57,"[21.2, 23.84, 22.54, 24.33, 26.48]",5,0
125th,David,Khan,23.12,19.28,23.58,"[23.72, 24.22, 19.28, 22.81, 25.55]",5,0
126th,Keith,Henderson,23.88,21.61,23.62,"[25.27, 21.61, 23.17, 26.93, 22.42]",5,0
127th,James,Johnston,23.37,20.79,23.64,"[25.07, 20.79, 22.6, 25.15, 23.24]",5,0
128th,Susan,Cox,23.43,20.55,23.64,"[20.59, 25.62, 25.69, 20.55, 24.7]",5,0
129th,Stephen,Moore,23.23,20.7,23.64,"[23.42, 20.7, 23.39, 24.1, 24.55]",5,0
130th,Tiffany,Owens,23.98,20.72,23.65,"[20.72, 22.35, 28.22, 22.56, 26.04]",5,0
131st,Rebecca,Brown,23.6,20.55,23.65,"[20.55, 24.53, 26.52, 23.64, 22.78]",5,0
