The MoYu Louisville Cup
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,17.67,"[24.52, 15.11, 19.01, 15.53, 18.48]"
2nd,Cheryl,Jackson,18.48,"[16.29, 16.17, 18.84, 21.4, 20.32]"
3rd,Bradley,Cross,18.59,"[17.35, 19.04, 18.86, 18.57, 18.34]"
4th,Maggie,Silver,18.91,"[18.47, 21.4, 17.6, 20.67, 14.21]"
5th,Robert,Young,19.06,"[18.66, 19.61, 21.53, 18.91, 14.25]"
6th,Jacob,Garcia,19.34,"[19.44, 19.89, 17.67, 18.68, 21.14]"
7th,Antonio,Valencia,19.37,"[16.07, 19.5, 18.18, 20.43, 20.6]"
8th,Tracy,Kelley,19.42,"[18.65, 20.28, 20.85, 19.32, 18.08]"
9th,Chad,Thomas,19.56,"[20.12, 19.56, 23.7, 17.79, 19.0]"
10th,Eric,Graham,19.88,"[20.37, 22.61, 18.51, 19.86, 19.4]"
11th,Daria,Buchkovsky,20.06,"[19.37, 19.21, 20.58, 26.34, 20.22]"
12th,Conor,Evans,20.19,"[13.96, 22.07, 25.68, 18.95, 19.55]"
13th,Peter,King,20.36,"[20.25, 22.1, 20.51, 20.33, 20.14]"
14th,Kayla,Johnson,20.5,"[17.27, 20.39, 23.5, 22.68, 18.42]"
15th,Elizabeth,Williams,20.51,"[20.67, 22.02, 19.71, 20.77, 20.08]"
16th,Michelle,Hart,20.53,"[21.41, 20.36, 20.8, 20.44, 16.69]"
17th,Tiffany,Dixon,20.67,"[20.73, 20.49, 23.52, 20.79, 19.41]"
18th,Ryan,Stoyko,20.72,"[18.18, 21.15, 23.54, 21.44, 19.58]"
19th,Daniel,Mendoza,20.74,"[22.89, 18.26, 19.57, 19.76, 25.62]"
20th,Julia,Lamb,21.02,"[22.12, 20.49, 18.78, 'DNF', 20.44]"
21st,George,Wright,21.03,"[21.54, 22.02, 20.96, 20.59, 20.47]"
22nd,Whitney,Nicholson,21.09,"[24.02, 22.88, 21.14, 18.48, 19.26]"
23rd,Steven,Carpenter,21.19,"[18.79, 22.83, 22.13, 20.82, 20.63]"
24th,Nathaniel,White,21.26,"[19.99, 18.36, 21.52, 22.26, 'DNF']"
25th,Justin,Thomas,21.29,"[21.49, 24.59, 19.61, 18.92, 22.78]"
