Bangkok Open
Best Single,13.55,Tanya Lee,Best AO5,16.09,Tanya Lee,"[17.26, 15.64, 19.9, 15.36, 14.59]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Tanya,Lee,18.57,13.55,16.09,"[17.26, 15.64, 19.9, 15.36, 14.59]",25,0
2nd,Bradley,Cross,18.76,15.22,18.07,"[18.1, 16.26, 19.23, 19.76, 16.87]",44,1
3rd,Antonio,Valencia,19.47,15.93,18.47,"[18.32, 18.34, 15.93, 20.26, 18.75]",54,1
4th,Maggie,Silver,19.76,14.21,18.83,"[18.6, 18.83, 19.07, 18.54, 20.47]",69,1
5th,Robert,Young,20.35,14.05,19.06,"[18.66, 19.61, 21.53, 18.91, 14.25]",44,1
6th,David,Heath,21.2,16.66,19.85,"[21.86, 'DNF', 17.61, 17.87, 19.83]",29,1
7th,Cheryl,Jackson,20.11,14.5,18.48,"[16.29, 16.17, 18.84, 21.4, 20.32]",54,1
8th,Jacob,Garcia,19.99,16.54,19.16,"[17.51, 22.11, 18.7, 18.7, 20.08]",45,0
9th,Brett,Hill,21.63,17.15,21.46,"[21.75, 21.91, 19.95, 21.37, 21.25]",30,0
10th,Kayla,Johnson,21.3,17.27,19.13,"[18.64, 22.0, 18.91, 19.83, 17.98]",45,0
11th,Alyssa,Murillo,21.33,14.1,19.29,"[21.67, 17.19, 21.18, 17.96, 18.73]",40,0
12th,Stephanie,Cain,20.72,15.69,19.61,"[24.41, 17.81, 22.95, 17.98, 17.91]",63,2
13th,Clinton,Buck,21.63,18.26,19.81,"[23.37, 18.3, 20.46, 20.19, 18.79]",35,0
14th,Jessica,Lane,21.44,16.09,19.98,"[19.28, 19.39, 20.72, 19.84, 21.68]",40,0
15th,Michael,Brown,20.71,15.94,19.11,"[19.24, 17.3, 21.2, 15.94, 20.78]",49,1
16th,Henry,Hunter,21.63,16.54,19.69,"[19.43, 21.1, 18.53, 22.74, 16.54]",25,0
17th,Denise,Harrison,21.19,15.26,20.01,"[17.55, 22.09, 20.9, 18.88, 20.26]",45,0
18th,Daria,Buchkovsky,20.89,15.26,20.06,"[19.37, 19.21, 20.58, 26.34, 20.22]",28,2
19th,Ryan,Stoyko,20.68,14.0,19.84,"[22.27, 19.4, 16.95, 22.13, 17.99]",44,1
20th,Peter,King,21.47,18.94,20.36,"[20.25, 22.1, 20.51, 20.33, 20.14]",29,1
21st,David,Long,21.54,18.14,19.35,"[19.32, 18.14, 18.28, 20.45, 21.71]",30,0
22nd,Eric,Graham,20.36,15.45,19.79,"[19.82, 20.42, 19.13, 18.12, 20.83]",44,1
23rd,Sarah,Torres,21.96,19.41,20.8,"[21.6, 20.83, 19.56, 22.78, 19.98]",44,1
24th,Emerson,Tichenor,21.77,18.34,20.4,"[20.85, 21.7, 18.34, 18.65, 25.0]",20,0
25th,Tammy,Powers,21.91,17.89,21.03,"[20.53, 23.53, 21.03, 21.46, 20.59]",25,0
26th,Suzanne,Weiss,22.28,18.76,21.16,"[21.43, 19.93, 22.12, 19.44, 23.13]",44,1
27th,Karen,Castro,21.4,17.51,20.45,"[19.51, 21.36, 19.78, 20.21, 22.93]",45,0
28th,Christopher,Kim,22.02,18.93,21.12,"[20.5, 21.48, 21.37, 20.52, 22.16]",38,2
29th,Sandra,Collins,22.64,16.19,21.47,"[20.53, 22.5, 20.62, 24.12, 21.29]",30,0
30th,Allen,Cook,22.43,17.65,21.65,"[23.51, 22.37, 20.12, 21.58, 20.99]",45,0
31st,Denise,Diaz,22.34,16.77,20.54,"[21.18, 23.3, 16.77, 18.64, 21.8]",53,2
32nd,Nathaniel,White,21.68,18.36,21.22,"[19.27, 22.51, 20.95, 20.19, 22.92]",34,1
33rd,James,Johnston,23.62,20.79,21.91,"[21.24, 22.29, 21.74, 21.7, 24.91]",25,0
34th,Jeanette,King,21.65,18.1,19.49,"[18.66, 18.1, 18.59, 21.23, 21.49]",29,1
35th,Steven,Carpenter,21.38,17.7,21.01,"[22.07, 20.54, 19.88, 20.87, 21.63]",43,2
