Bangkok Open
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Bradley,Cross,18.07,"[18.1, 16.26, 19.23, 19.76, 16.87]"
2nd,Jeanette,King,19.49,"[18.66, 18.1, 18.59, 21.23, 21.49]"
3rd,Jacob,Garcia,19.51,"[21.14, 18.57, 18.43, 21.06, 18.91]"
4th,Tanya,Lee,19.57,"[18.35, 17.91, 22.51, 19.68, 20.69]"
5th,Henry,Hunter,19.69,"[19.43, 21.1, 18.53, 22.74, 16.54]"
6th,Terrance,Fowler,19.96,"[18.84, 20.44, 24.93, 19.02, 20.41]"
7th,David,Heath,20.05,"[20.46, 19.51, 21.59, 16.66, 20.19]"
8th,Robert,Andrews,20.08,"[19.21, 20.16, 19.29, 20.78, 22.98]"
9th,Denise,Harrison,20.35,"[22.53, 20.75, 20.99, 19.31, 18.81]"
10th,Emerson,Tichenor,20.4,"[20.85, 21.7, 18.34, 18.65, 25.0]"
11th,George,Wright,20.43,"[21.51, 20.12, 18.49, 21.69, 19.66]"
12th,Maggie,Silver,20.46,"[21.55, 19.52, 22.54, 20.13, 19.71]"
13th,Scott,Bryant,20.47,"[20.69, 19.18, 21.69, 19.15, 21.54]"
14th,Michael,Brown,20.47,"[18.4, 20.32, 19.83, 22.24, 21.27]"
15th,Daria,Buchkovsky,20.53,"[15.26, 19.47, 21.09, 21.04, 22.33]"
16th,Lonnie,Green,20.53,"[21.74, 22.39, 14.38, 17.46, 27.79]"
17th,Stephanie,Cain,20.53,"[19.09, 24.66, 19.78, 22.73, 15.69]"
18th,Chad,Thomas,20.54,"[20.75, 19.05, 22.9, 20.84, 20.02]"
19th,Karen,Castro,20.55,"[19.66, 21.44, 17.51, 21.13, 20.85]"
20th,Peter,King,20.65,"[22.08, 19.34, 20.54, 23.83, 18.94]"
21st,Cheryl,Jackson,20.66,"[18.27, 18.17, 22.01, 21.71, 22.53]"
22nd,Antonio,Valencia,20.66,"[16.23, 'DNF', 20.33, 20.61, 21.04]"
23rd,Mark,Williams,20.67,"[20.87, 23.38, 26.46, 16.42, 17.75]"
24th,Elizabeth,Williams,20.67,"[19.54, 19.07, 21.71, 20.76, 22.76]"
25th,James,Howard,20.67,"[19.09, 20.65, 22.28, 19.05, 22.82]"
26th,Denise,Diaz,20.71,"[19.17, 18.79, 21.49, 25.57, 21.47]"
27th,Ryan,Stoyko,20.78,"[16.89, 20.27, 20.28, 23.67, 21.78]"
28th,Tiffany,Owens,20.92,"[22.62, 20.18, 22.56, 19.96, 20.03]"
29th,David,Long,20.96,"[19.85, 21.01, 21.75, 20.13, 24.32]"
30th,Steven,Carpenter,21.01,"[22.07, 20.54, 19.88, 20.87, 21.63]"
31st,Robert,Young,21.08,"[24.3, 21.03, 19.87, 20.67, 21.54]"
32nd,Duane,Smith,21.09,"[21.45, 21.96, 23.48, 19.86, 18.7]"
33rd,Tammy,Powers,21.12,"[20.7, 22.44, 17.89, 20.96, 21.7]"
34th,Jessica,Lane,21.14,"[20.88, 22.05, 19.46, 22.8, 20.5]"
35th,Daniel,Mendoza,21.28,"[20.82, 22.28, 21.87, 17.71, 21.14]"
36th,Tiffany,Dixon,21.29,"[22.62, 21.35, 21.83, 19.38, 20.69]"
37th,Julia,Lamb,21.3,"[20.5, 21.4, 22.01, 19.39, 22.37]"
38th,Eric,Graham,21.41,"[19.5, 23.28, 20.92, 22.3, 21.0]"
39th,Alyssa,Murillo,21.42,"[21.21, 20.59, 19.82, 24.64, 22.47]"
40th,Nathaniel,White,21.45,"[22.68, 19.74, 21.96, 21.76, 20.63]"
41st,Brett,Hill,21.49,"[21.16, 23.81, 21.89, 17.86, 21.42]"
42nd,Brittany,Carroll,21.59,"[21.43, 21.42, 21.92, 25.02, 21.12]"
43rd,Allen,Cook,21.68,"[20.91, 22.59, 21.21, 21.24, 24.95]"
44th,Sandra,Collins,21.68,"[18.44, 26.61, 20.65, 23.51, 20.89]"
45th,Trevor,Benson,21.7,"[22.69, 16.03, 21.51, 22.95, 20.91]"
46th,Conor,Evans,21.77,"[21.21, 22.24, 19.95, 21.87, 23.8]"
47th,Suzanne,Weiss,21.84,"[21.78, 22.45, 21.29, 23.72, 21.15]"
48th,Brittany,Rice,21.9,"[22.06, 24.31, 19.33, 17.93, 28.14]"
49th,James,Johnston,21.91,"[21.24, 22.29, 21.74, 21.7, 24.91]"
50th,Devon,Fisher,21.91,"[20.59, 21.07, 20.86, 23.85, 23.79]"
51st,Kayla,Johnson,21.91,"[21.13, 18.2, 23.71, 20.89, 23.8]"
52nd,Christopher,Kim,21.99,"[22.86, 22.91, 21.0, 20.74, 22.12]"
53rd,Rebecca,Brown,22.02,"[22.67, 19.45, 21.14, 23.25, 22.24]"
54th,Brianna,Gonzalez,22.03,"[24.36, 21.68, 20.59, 23.05, 21.36]"
55th,Richard,Austin,22.04,"[22.62, 23.52, 19.7, 19.97, 25.93]"
56th,David,Nichols,22.09,"[21.87, 21.63, 23.27, 20.4, 22.77]"
57th,Clinton,Buck,22.1,"[20.8, 22.42, 19.75, 23.26, 23.09]"
58th,Anna,Charles,22.21,"[19.47, 21.53, 21.45, 23.66, 24.58]"
59th,Bill,Meadows,22.22,"[19.02, 23.22, 22.18, 21.27, 24.04]"
60th,Douglas,Robinson,22.23,"[23.26, 22.75, 20.68, 24.36, 20.04]"
61st,Angela,Jordan,22.23,"[22.58, 22.73, 21.37, 20.08, 26.36]"
62nd,Sheila,Johnson,22.26,"[23.25, 21.19, 27.14, 21.12, 22.33]"
63rd,Lynn,Cohen,22.26,"[22.45, 24.06, 22.37, 21.11, 21.97]"
64th,Sarah,Torres,22.28,"[23.61, 20.08, 21.7, 21.83, 23.32]"
65th,Sarah,Underwood,22.3,"[22.73, 21.18, 23.55, 17.18, 22.99]"
66th,Cynthia,Silva,22.32,"[23.48, 21.71, 21.78, 24.59, 17.86]"
67th,Michelle,Evans,22.39,"[21.36, 22.68, 23.13, 23.53, 21.37]"
68th,Jason,Martin,22.4,"[18.72, 20.84, 24.71, 24.48, 21.87]"
69th,Andrew,Bradford,22.41,"[22.09, 21.55, 23.44, 22.99, 22.14]"
70th,Tracy,Kelley,22.43,"[23.84, 21.6, 21.79, 23.3, 22.19]"
71st,Donald,Dixon,22.44,"[21.1, 19.52, 22.8, 23.41, 23.43]"
72nd,Marcus,Nguyen,22.45,"[23.29, 22.33, 23.92, 21.17, 21.73]"
73rd,Robin,Wells,22.47,"[25.85, 23.2, 22.03, 22.19, 19.63]"
74th,Christine,Hicks,22.54,"[23.99, 20.64, 23.63, 23.26, 20.74]"
75th,Jennifer,Bass,22.54,"[23.02, 22.28, 22.12, 22.32, 26.71]"
76th,Christine,Moran,22.55,"[22.18, 23.17, 21.33, 24.32, 22.31]"
77th,James,Horne,22.56,"[22.77, 22.02, 18.66, 25.0, 22.9]"
78th,Alexis,Valentine,22.56,"[21.9, 21.18, 24.75, 23.31, 22.48]"
79th,Krystal,Kane,22.57,"[24.69, 21.2, 21.86, 23.12, 22.72]"
80th,Julie,Barr,22.59,"[23.44, 21.84, 23.44, 22.49, 21.51]"
81st,Anita,Buchanan,22.6,"[20.19, 25.98, 22.87, 23.69, 21.23]"
82nd,Nicole,Young,22.62,"[18.78, 23.02, 24.08, 22.07, 22.76]"
83rd,Michele,Cordova,22.63,"[24.21, 21.34, 23.33, 20.6, 23.21]"
84th,Elizabeth,Taylor,22.65,"[22.0, 23.87, 21.56, 22.08, 24.5]"
85th,David,Hamilton,22.68,"[22.85, 24.31, 21.64, 22.21, 22.98]"
86th,Kimberly,Wade,22.72,"[23.89, 24.68, 22.8, 20.06, 21.46]"
87th,Martha,Smith,22.74,"[23.98, 21.92, 17.63, 23.53, 22.77]"
88th,Heather,Ali,22.75,"[20.51, 23.52, 23.19, 24.32, 21.54]"
89th,James,Wade,22.78,"[20.56, 22.29, 23.44, 25.36, 22.61]"
90th,John,Carter,22.79,"[25.86, 21.85, 22.57, 23.76, 22.05]"
91st,Amanda,Scott,22.81,"[23.38, 21.83, 25.46, 21.91, 23.13]"
92nd,David,Garcia,22.81,"[28.31, 22.73, 21.29, 22.03, 23.68]"
93rd,Justin,Santana,22.81,"[23.3, 21.33, 23.81, 24.53, 18.29]"
94th,Paul,Norris,22.82,"[25.43, 21.08, 21.95, 20.65, 26.05]"
95th,James,Gamble,22.83,"[22.47, 24.82, 20.74, 23.67, 22.34]"
96th,Patricia,Ross,22.86,"[21.97, 24.53, 19.01, 24.57, 22.09]"
97th,Amanda,Davis,22.89,"[23.62, 21.29, 23.63, 22.27, 22.79]"
98th,Stacey,Matthews,22.92,"[26.0, 21.87, 23.22, 21.6, 23.67]"
99th,Sarah,Mendoza,22.94,"[23.67, 24.52, 23.66, 21.48, 19.1]"
100th,Regina,Erickson,22.94,"[22.76, 20.67, 23.22, 25.55, 22.85]"
101st,Brittney,Gonzalez,22.96,"[24.64, 21.36, 22.11, 22.13, 26.14]"
102nd,Michelle,Hart,22.96,"[23.05, 19.88, 20.54, 'DNF', 25.29]"
