Speedcubes Massive Battle in Omdurman
Best Single,12.28,Tanya Lee,Best AO5,16.48,Tanya Lee,"[16.76, 21.41, 16.77, 12.28, 15.9]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Bradley,Cross,18.71,13.71,18.35,"[17.81, 18.3, 20.33, 18.91, 17.84]",14,1
2nd,Maggie,Silver,19.59,16.08,18.71,"[20.12, 19.05, 16.97, 20.16, 16.9]",20,0
3rd,Robert,Young,20.73,16.2,19.13,"[21.19, 18.2, 16.2, 20.38, 18.81]",25,0
4th,Ryan,Stoyko,20.57,14.54,19.99,"[14.54, 19.81, 20.58, 20.28, 19.89]",29,1
5th,Jacob,Garcia,20.51,14.16,19.07,"[20.05, 19.44, 17.36, 25.28, 17.71]",54,1
6th,Kayla,Johnson,21.53,15.54,20.68,"[23.85, 15.54, 22.28, 19.91, 19.84]",15,0
7th,Stephanie,Cain,20.09,15.96,19.17,"[18.78, 20.19, 17.38, 22.24, 18.53]",28,2
8th,Eric,Graham,19.99,14.67,18.78,"[19.63, 19.86, 18.07, 14.79, 18.63]",50,0
9th,Andrew,Bradford,21.25,15.77,21.02,"[21.22, 22.93, 21.62, 20.22, 20.13]",23,2
10th,Stacey,Matthews,21.28,18.54,20.98,"[19.74, 24.86, 21.63, 19.01, 21.57]",15,0
11th,Michelle,Hart,21.14,18.28,20.1,"[19.01, 18.54, 22.24, 19.04, 22.99]",15,0
12th,Cheryl,Jackson,21.13,18.14,19.25,"[18.53, 21.56, 20.4, 18.14, 18.82]",15,0
13th,Amanda,Davis,21.94,19.39,21.19,"[22.24, 21.16, 21.46, 19.39, 20.96]",20,0
14th,Robert,Andrews,21.15,18.22,20.1,"[19.55, 19.71, 21.03, 18.47, 21.38]",20,0
15th,Donald,Dixon,21.47,18.67,21.0,"[20.82, 23.48, 21.48, 20.46, 20.69]",19,1
16th,Emerson,Tichenor,21.54,15.83,20.05,"[20.67, 18.83, 23.43, 20.66, 17.34]",30,0
17th,Alyssa,Murillo,20.52,16.35,19.61,"[21.06, 20.38, 17.82, 16.57, 20.63]",37,3
18th,Kimberly,Williams,21.8,18.07,21.03,"[20.67, 18.85, 20.96, 21.49, 21.47]",25,0
19th,Michael,Brown,21.33,17.71,19.61,"[20.99, 18.74, 19.11, 22.14, 18.01]",40,0
20th,Jeanette,King,20.81,16.95,19.5,"[19.43, 17.69, 19.11, 23.1, 19.96]",30,5
21st,Robin,Wells,20.74,16.43,19.21,"[16.43, 19.35, 26.36, 17.16, 21.12]",15,0
22nd,Tracy,Kelley,21.27,18.75,20.17,"[20.99, 23.95, 18.75, 18.88, 20.63]",15,0
23rd,Brett,Hill,20.79,17.24,19.62,"[20.07, 18.8, 19.99, 20.74, 17.61]",40,0
24th,Denise,Harrison,21.27,19.17,20.44,"[22.12, 19.56, 21.62, 19.17, 20.13]",15,0
25th,David,Heath,21.27,17.94,20.43,"[21.14, 18.27, 21.15, 21.76, 19.0]",18,2
26th,Steven,Carpenter,20.95,17.6,19.79,"[19.69, 17.6, 17.91, 21.77, 24.08]",19,1
27th,Daria,Buchkovsky,21.08,17.28,20.69,"[18.97, 21.86, 20.21, 20.39, 21.46]",20,0
28th,Antonio,Valencia,19.18,15.34,18.94,"[15.81, 19.53, 18.21, 19.36, 19.25]",20,0
29th,Alexis,Valentine,21.82,17.23,21.04,"[20.89, 21.09, 19.42, 26.17, 21.13]",29,1
30th,Nathaniel,White,21.54,17.96,20.2,"[18.93, 21.25, 19.73, 20.72, 20.15]",34,1
31st,Henry,Hunter,20.9,16.53,20.7,"[19.9, 17.57, 24.15, 18.14, 24.06]",19,1
32nd,Martha,Smith,22.64,17.77,22.36,"[22.42, 19.88, 23.74, 24.89, 20.91]",19,1
33rd,Trevor,Benson,21.8,18.44,21.52,"[20.96, 24.65, 22.31, 21.3, 18.44]",15,0
34th,Carlos,Thompson,22.68,21.43,22.27,"[23.02, 22.11, 22.16, 21.73, 22.55]",15,0
35th,Sarah,Torres,21.83,18.05,20.68,"[18.16, 23.02, 21.72, 19.68, 20.63]",30,0
36th,James,Wade,22.67,19.21,21.16,"[19.51, 20.64, 23.14, 21.39, 21.44]",25,0
37th,James,Howard,22.78,19.91,22.2,"[19.91, 23.06, 21.96, 22.46, 22.19]",15,0
38th,Bill,Meadows,21.14,16.11,19.59,"[17.65, 19.0, 20.04, 21.11, 19.74]",25,0
39th,Sarah,Underwood,22.37,18.27,21.53,"[24.83, 18.27, 20.07, 22.87, 21.64]",15,0
40th,Clinton,Buck,21.64,17.82,20.71,"[20.26, 20.24, 17.82, 21.63, 23.0]",30,0
41st,Julia,Lamb,20.39,16.27,20.1,"[20.01, 21.01, 18.66, 19.96, 20.34]",15,0
42nd,Jason,Martin,21.94,16.31,22.27,"[22.36, 22.57, 23.87, 21.87, 16.31]",14,1
43rd,Stacy,Roberson,23.24,19.59,22.79,"[23.82, 22.03, 22.52, 19.59, 24.17]",25,0
