Speedcubes Massive Battle in Omdurman
Top 128 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Bradley,Cross,18.35,"[17.81, 18.3, 20.33, 18.91, 17.84]"
2nd,Tanya,Lee,18.6,"[17.24, 17.92, 19.35, 20.01, 18.52]"
3rd,Maggie,Silver,18.71,"[20.12, 19.05, 16.97, 20.16, 16.9]"
4th,Antonio,Valencia,19.08,"[15.34, 18.28, 20.78, 21.61, 18.19]"
5th,Robert,Young,19.13,"[21.19, 18.2, 16.2, 20.38, 18.81]"
6th,Robin,Wells,19.21,"[16.43, 19.35, 26.36, 17.16, 21.12]"
7th,Conor,Evans,19.97,"[22.39, 20.21, 20.43, 19.28, 16.41]"
8th,Ryan,Stoyko,19.99,"[14.54, 19.81, 20.58, 20.28, 19.89]"
9th,Alyssa,Murillo,20.07,"[20.43, 18.74, 19.19, 20.59, 'DNF']"
10th,Julia,Lamb,20.1,"[20.01, 21.01, 18.66, 19.96, 20.34]"
11th,Michelle,Hart,20.1,"[19.01, 18.54, 22.24, 19.04, 22.99]"
12th,Cynthia,Silva,20.4,"[19.47, 21.03, 20.5, 25.15, 19.67]"
13th,Denise,Harrison,20.44,"[22.12, 19.56, 21.62, 19.17, 20.13]"
14th,David,Long,20.5,"[21.09, 22.44, 21.41, 17.84, 18.99]"
15th,Eric,Graham,20.52,"[26.44, 19.33, 21.26, 17.3, 20.98]"
16th,Brett,Hill,20.62,"[19.4, 21.18, 22.49, 18.33, 21.28]"
17th,Stephanie,Cain,20.64,"[20.07, 20.6, 22.35, 21.26, 16.84]"
18th,Steven,Carpenter,20.67,"[20.29, 19.2, 22.53, 23.32, 18.97]"
19th,Sarah,Torres,20.68,"[18.16, 23.02, 21.72, 19.68, 20.63]"
20th,Elizabeth,Williams,20.76,"[20.42, 22.7, 20.11, 19.58, 21.76]"
21st,Chad,Thomas,20.87,"[22.87, 19.22, 21.88, 20.53, 20.21]"
22nd,Michael,Brown,20.87,"[18.93, 22.13, 19.37, 21.1, 22.27]"
23rd,Stacey,Matthews,20.98,"[19.74, 24.86, 21.63, 19.01, 21.57]"
24th,Henry,Hunter,21.01,"[22.68, 16.53, 22.41, 17.95, 23.02]"
25th,Clinton,Buck,21.18,"[19.89, 21.77, 20.0, 21.78, 24.8]"
26th,Gabrielle,Brock,21.2,"[21.95, 20.3, 20.33, 23.13, 21.33]"
27th,Karen,Castro,21.23,"[20.14, 24.72, 20.66, 22.35, 20.67]"
28th,Emerson,Tichenor,21.3,"[19.54, 26.01, 25.58, 15.83, 18.79]"
29th,Cheryl,Jackson,21.32,"[20.75, 18.59, 20.29, 23.32, 22.91]"
30th,Daria,Buchkovsky,21.35,"[26.56, 19.7, 20.44, 20.31, 23.29]"
31st,Brianna,Gonzalez,21.35,"[19.72, 23.52, 23.53, 20.81, 19.04]"
32nd,George,Wright,21.52,"[20.16, 24.0, 20.9, 22.06, 21.59]"
33rd,Trevor,Benson,21.52,"[20.96, 24.65, 22.31, 21.3, 18.44]"
34th,Jeremy,Fisher,21.56,"[21.01, 24.19, 20.78, 21.27, 22.4]"
35th,Jacob,Garcia,21.61,"[22.79, 16.33, 20.7, 22.84, 21.33]"
36th,Jeanette,King,21.75,"[21.86, 17.45, 23.02, 'DNF', 20.37]"
37th,Christopher,Kim,21.76,"[22.56, 21.62, 20.08, 21.11, 22.88]"
38th,Taylor,Roach,21.77,"[25.5, 21.66, 20.47, 23.17, 19.07]"
39th,Tracy,Kelley,21.79,"[23.05, 21.81, 19.84, 21.46, 22.11]"
40th,Sarah,Underwood,21.83,"[25.73, 20.75, 20.32, 22.49, 22.25]"
41st,Karen,Hunter,21.87,"[17.82, 23.87, 21.45, 23.02, 21.15]"
42nd,Anthony,Smith,21.88,"[24.74, 20.3, 21.37, 23.4, 20.86]"
43rd,Brittany,Carroll,21.88,"[19.97, 22.59, 18.75, 24.09, 23.08]"
44th,Andrew,Bradford,21.89,"[21.62, 22.09, 22.5, 21.97, 19.18]"
45th,James,Wade,21.91,"[21.52, 21.61, 23.79, 22.6, 21.32]"
46th,Donald,Dixon,21.93,"[18.67, 25.39, 19.43, 'DNF', 20.98]"
47th,Daniel,Mendoza,21.95,"[21.98, 21.46, 'DNF', 21.25, 22.41]"
48th,James,Gamble,21.98,"[22.78, 21.25, 21.92, 20.64, 23.63]"
49th,Lonnie,Green,22.0,"[21.67, 'DNF', 22.71, 21.61, 20.67]"
50th,Robert,Andrews,22.05,"[21.37, 23.19, 21.58, 19.67, 24.06]"
51st,Patricia,Ross,22.05,"[27.38, 21.34, 20.26, 23.32, 21.48]"
52nd,Alexander,Stewart,22.06,"[20.18, 21.31, 25.31, 22.34, 22.54]"
53rd,James,Horne,22.07,"[24.33, 21.4, 18.74, 20.49, 25.49]"
54th,Tammy,Powers,22.07,"[22.64, 20.73, 21.01, 22.55, 24.52]"
55th,Bill,Meadows,22.08,"[21.78, 20.76, 16.11, 23.7, 24.14]"
56th,Amanda,Davis,22.09,"[21.81, 22.28, 21.73, 22.74, 22.19]"
57th,Lynn,Cohen,22.2,"[23.47, 21.68, 22.98, 21.95, 21.02]"
58th,Kimberly,Williams,22.22,"[23.8, 19.09, 20.84, 22.97, 22.85]"
59th,Alexis,Valentine,22.23,"[19.61, 22.98, 22.99, 'DNF', 20.72]"
60th,Alexandria,Perez,22.23,"[21.74, 22.56, 20.7, 23.01, 22.38]"
61st,Jessica,Lane,22.24,"[22.22, 18.98, 21.27, 23.74, 23.22]"
62nd,Tiffany,Owens,22.24,"[20.45, 21.53, 18.7, 24.86, 24.74]"
63rd,Kayla,Johnson,22.25,"[21.22, 20.34, 24.51, 21.03, 24.89]"
64th,Peter,King,22.35,"[22.95, 21.94, 22.16, 23.06, 18.56]"
65th,Christine,Moran,22.38,"[21.71, 21.42, 23.96, 21.47, 25.27]"
66th,James,Martin,22.38,"[24.41, 21.55, 24.01, 21.25, 21.58]"
67th,Michele,Cordova,22.39,"[20.65, 23.49, 23.39, 23.12, 20.58]"
68th,Adam,Baker,22.39,"[22.3, 21.94, 21.1, 22.93, 23.32]"
69th,Tiffany,Dixon,22.4,"['DNF', 22.54, 24.58, 18.68, 20.08]"
70th,Mark,Williams,22.45,"[22.02, 20.64, 25.89, 21.46, 23.88]"
71st,Nathaniel,White,22.45,"[21.08, 22.08, 22.3, 26.18, 22.96]"
72nd,Andre,Collins,22.5,"[24.53, 21.76, 23.02, 22.71, 21.53]"
73rd,Kelly,Morris,22.51,"[23.71, 24.11, 21.41, 22.42, 21.35]"
74th,Sandra,Collins,22.51,"[23.58, 18.22, 24.45, 21.9, 22.04]"
75th,Belinda,Carter,22.52,"[24.1, 23.57, 21.71, 20.69, 22.29]"
76th,Martha,Smith,22.53,"[24.79, 17.77, 21.31, 'DNF', 21.49]"
77th,Cheryl,Weaver,22.56,"[22.83, 21.66, 21.27, 24.12, 23.2]"
78th,Christina,Marshall,22.57,"[21.88, 21.25, 24.49, 21.33, 25.74]"
79th,Anita,Buchanan,22.59,"[23.19, 23.74, 22.54, 22.05, 20.85]"
80th,Scott,Bryant,22.6,"[22.01, 23.05, 22.88, 22.32, 22.61]"
81st,Julia,Stone,22.64,"[24.23, 21.4, 21.22, 22.29, 24.23]"
82nd,Anna,Charles,22.66,"[21.43, 25.69, 20.37, 27.66, 20.85]"
83rd,Justin,Thomas,22.69,"[24.89, 22.42, 23.2, 18.96, 22.46]"
84th,Caitlin,Nolan,22.69,"[24.44, 22.7, 23.67, 21.7, 20.26]"
85th,Kayla,Moore,22.72,"[22.8, 22.51, 22.84, 21.08, 'DNF']"
86th,Jason,Martin,22.72,"[22.77, 23.54, 24.28, 21.85, 20.24]"
87th,Aaron,Hall,22.73,"[22.58, 23.13, 22.48, 'DNF', 18.7]"
88th,Michelle,Evans,22.74,"[25.17, 21.86, 21.83, 19.18, 24.53]"
89th,Matthew,Jefferson,22.74,"[22.44, 25.43, 23.8, 21.97, 20.56]"
90th,Haley,Ryan,22.75,"[24.74, 21.27, 22.23, 25.01, 21.21]"
91st,James,Howard,22.79,"[24.2, 22.59, 20.83, 27.6, 21.57]"
