The Nagoya Cup Sponsored by GAN
Best Single,14.19,Jacob Garcia,Best AO5,17.93,Stephanie Cain,"[16.37, 19.93, 17.29, 18.87, 17.62]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Bradley,Cross,19.05,13.71,18.35,"[17.81, 18.3, 20.33, 18.91, 17.84]",24,1
2nd,Maggie,Silver,19.52,15.88,18.71,"[20.12, 19.05, 16.97, 20.16, 16.9]",79,1
3rd,Antonio,Valencia,19.18,15.34,18.14,"[20.31, 19.2, 17.62, 17.38, 17.61]",35,0
4th,Brett,Hill,20.83,17.24,19.62,"[20.07, 18.8, 19.99, 20.74, 17.61]",59,1
5th,Stephanie,Cain,20.01,15.96,17.93,"[16.37, 19.93, 17.29, 18.87, 17.62]",63,2
6th,Conor,Evans,21.71,16.37,19.82,"[19.09, 21.63, 20.8, 19.57, 16.37]",30,0
7th,Henry,Hunter,21.2,16.53,19.79,"[18.05, 24.69, 20.53, 19.27, 19.57]",49,1
8th,Tanya,Lee,19.11,12.28,16.48,"[16.76, 21.41, 16.77, 12.28, 15.9]",45,0
9th,Elizabeth,Williams,21.47,18.57,20.76,"[20.42, 22.7, 20.11, 19.58, 21.76]",29,1
10th,Kayla,Johnson,21.18,15.54,18.75,"[22.52, 18.71, 20.61, 16.48, 16.94]",29,1
11th,Cheryl,Jackson,20.82,16.58,19.25,"[18.53, 21.56, 20.4, 18.14, 18.82]",39,1
12th,Robert,Young,20.8,16.2,19.13,"[21.19, 18.2, 16.2, 20.38, 18.81]",40,0
13th,Tammy,Powers,22.29,15.9,20.38,"[23.65, 21.98, 21.08, 15.9, 18.09]",45,0
14th,Jacob,Garcia,20.3,14.16,18.81,"[19.49, 15.7, 20.02, 21.19, 16.93]",89,1
15th,Donald,Dixon,21.47,17.19,20.69,"[19.68, 22.34, 20.05, 17.19, 22.84]",49,1
16th,David,Heath,21.42,17.94,20.43,"[21.14, 18.27, 21.15, 21.76, 19.0]",37,3
17th,Tracy,Kelley,21.41,16.2,20.17,"[20.99, 23.95, 18.75, 18.88, 20.63]",30,0
18th,Bill,Meadows,21.02,16.11,19.59,"[17.65, 19.0, 20.04, 21.11, 19.74]",38,2
19th,Jason,Martin,21.87,16.31,20.51,"[20.99, 21.62, 19.75, 17.13, 20.8]",29,1
20th,Tiffany,Dixon,21.67,17.42,20.64,"[21.68, 19.24, 17.56, 21.01, 22.32]",44,1
21st,Eric,Graham,20.07,14.67,18.78,"[19.63, 19.86, 18.07, 14.79, 18.63]",65,0
22nd,Scott,Bryant,21.76,17.57,20.63,"[18.05, 23.99, 19.71, 22.36, 19.83]",49,1
23rd,Andrew,Bradford,21.24,15.77,19.69,"[19.21, 20.41, 20.28, 17.39, 19.59]",53,2
24th,Jeanette,King,20.8,16.76,19.5,"[19.43, 17.69, 19.11, 23.1, 19.96]",55,5
25th,Jessica,Lane,21.61,18.18,20.08,"[19.96, 18.82, 19.09, 21.2, 24.01]",45,0
26th,Terrance,Fowler,22.92,18.76,21.49,"[24.27, 22.79, 18.76, 22.43, 19.26]",25,0
