The Nagoya Cup Sponsored by GAN
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Antonio,Valencia,18.14,"[20.31, 19.2, 17.62, 17.38, 17.61]"
2nd,Kayla,Johnson,18.75,"[22.52, 18.71, 20.61, 16.48, 16.94]"
3rd,Tanya,Lee,19.01,"[15.31, 17.3, 18.9, 22.05, 20.83]"
4th,Maggie,Silver,19.24,"[17.74, 21.33, 18.42, 19.82, 19.49]"
5th,Michael,Brown,19.64,"[21.72, 19.65, 20.47, 18.79, 16.79]"
6th,Stephanie,Cain,19.67,"[19.14, 17.74, 18.69, 21.79, 21.19]"
7th,Conor,Evans,19.82,"[19.09, 21.63, 20.8, 19.57, 16.37]"
8th,Nathaniel,White,19.86,"[18.0, 17.08, 19.79, 21.78, 22.03]"
9th,Emerson,Tichenor,19.95,"[19.54, 16.81, 20.01, 20.29, 24.9]"
10th,Robert,Andrews,20.01,"[17.06, 21.52, 21.65, 19.99, 18.52]"
11th,Bradley,Cross,20.03,"[20.9, 18.74, 15.75, 20.62, 20.73]"
12th,Eric,Graham,20.06,"[18.34, 21.28, 20.46, 18.51, 21.22]"
13th,Julia,Lamb,20.06,"[17.2, 20.63, 19.35, 25.86, 20.19]"
14th,Michelle,Hart,20.07,"[20.71, 23.82, 17.2, 18.17, 21.34]"
15th,Bill,Meadows,20.11,"[19.7, 20.74, 22.83, 19.89, 18.82]"
16th,Jeanette,King,20.36,"[23.29, 17.08, 23.86, 20.1, 17.68]"
17th,Tracy,Kelley,20.36,"[20.4, 21.05, 16.2, 23.06, 19.63]"
18th,Karen,Castro,20.48,"[18.91, 20.02, 21.57, 19.84, 24.17]"
19th,Jason,Martin,20.51,"[20.99, 21.62, 19.75, 17.13, 20.8]"
20th,Sheila,Johnson,20.55,"[17.52, 21.36, 19.7, 22.54, 20.6]"
21st,George,Wright,20.56,"[21.52, 19.92, 20.31, 21.44, 19.84]"
22nd,Kimberly,Williams,20.69,"[20.18, 19.19, 20.82, 22.39, 21.08]"
23rd,Jacob,Garcia,20.78,"[21.18, 22.54, 17.55, 18.62, 22.81]"
24th,Alyssa,Murillo,20.78,"[24.23, 16.9, 20.44, 22.43, 19.46]"
25th,Elizabeth,Williams,20.9,"[21.32, 19.59, 20.98, 20.4, 23.72]"
26th,Steven,Carpenter,20.93,"[21.36, 20.08, 22.04, 19.59, 21.34]"
27th,Donald,Dixon,21.14,"[19.18, 22.44, 21.64, 19.33, 22.84]"
28th,Brett,Hill,21.16,"[21.24, 20.96, 19.2, 21.27, 22.61]"
29th,David,Heath,21.34,"[22.38, 20.44, 23.86, 19.57, 21.2]"
30th,Scott,Bryant,21.34,"[21.4, 20.57, 22.06, 23.76, 19.99]"
31st,Andrew,Bradford,21.34,"[19.84, 21.98, 22.21, 19.82, 22.49]"
32nd,Alexandria,Perez,21.34,"[21.5, 22.18, 20.34, 22.24, 19.45]"
