The Bucharest Cup Sponsored by GAN
Best Single,13.95,Tracy Kelley,Best AO5,17.27,Bradley Cross,"[14.77, 14.87, 19.08, 18.69, 18.26]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Bradley,Cross,18.59,14.77,17.27,"[14.77, 14.87, 19.08, 18.69, 18.26]",10,0
2nd,Tanya,Lee,19.0,14.13,18.46,"[20.47, 20.26, 18.95, 14.13, 16.18]",19,1
3rd,Jacob,Garcia,20.22,15.38,19.17,"['DNF', 17.94, 18.24, 16.52, 21.33]",44,1
4th,Brett,Hill,20.6,16.79,19.21,"[17.93, 20.0, 22.63, 19.7, 17.8]",20,0
5th,Michelle,Hart,20.43,16.68,20.2,"[18.67, 21.3, 18.8, 20.5, 26.86]",14,1
6th,Antonio,Valencia,19.2,14.5,17.63,"[20.81, 18.12, 16.58, 14.5, 18.18]",23,2
7th,Tracy,Kelley,21.33,13.95,20.77,"[22.61, 24.15, 19.66, 18.66, 20.05]",19,1
8th,Robin,Wells,21.5,14.95,21.39,"[19.45, 20.13, 14.95, 24.58, 24.94]",20,0
9th,Robert,Andrews,19.76,16.71,18.69,"[19.94, 16.71, 18.01, 18.11, 20.28]",22,3
10th,Cheryl,Jackson,20.15,16.15,19.0,"[17.81, 19.59, 17.25, 24.91, 19.59]",22,3
11th,Andrew,Bradford,21.82,17.13,20.68,"[20.38, 27.11, 19.47, 22.0, 19.65]",15,0
12th,Maggie,Silver,19.74,16.21,18.63,"[17.59, 20.27, 17.36, 20.05, 18.24]",29,1
13th,Robert,Young,20.41,15.86,19.2,"[19.19, 20.28, 20.11, 15.86, 18.29]",25,0
14th,Amanda,Davis,21.45,18.38,21.35,"[21.06, 19.65, 22.09, 20.94, 22.05]",20,0
15th,Denise,Harrison,21.01,15.85,18.83,"[16.9, 22.11, 17.46, 18.39, 20.63]",25,0
16th,Peter,King,21.14,18.26,20.49,"[20.61, 19.41, 21.44, 23.45, 18.97]",20,0
