The Bucharest Cup Sponsored by GAN
Top 32 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Antonio,Valencia,17.63,"[20.81, 18.12, 16.58, 14.5, 18.18]"
2nd,Tanya,Lee,18.46,"[20.47, 20.26, 18.95, 14.13, 16.18]"
3rd,Cheryl,Jackson,19.0,"[17.81, 19.59, 17.25, 24.91, 19.59]"
4th,Michael,Brown,19.48,"[20.49, 17.14, 20.97, 19.51, 18.45]"
5th,Robert,Andrews,20.05,"[21.27, 18.59, 16.99, 20.3, 'DNF']"
6th,Donald,Dixon,20.07,"[18.98, 19.53, 20.44, 20.63, 20.25]"
7th,Nathaniel,White,20.19,"[19.56, 19.29, 23.43, 20.16, 20.86]"
8th,Bradley,Cross,20.25,"[20.55, 17.09, 21.3, 22.42, 18.89]"
9th,Julia,Lamb,20.27,"[17.34, 20.27, 22.92, 19.29, 21.26]"
10th,Steven,Carpenter,20.32,"[20.68, 20.43, 17.0, 19.85, 23.06]"
11th,Emerson,Tichenor,20.38,"[20.64, 19.19, 24.02, 21.3, 18.3]"
12th,Michelle,Hart,20.45,"['DNF', 21.48, 21.18, 18.7, 17.78]"
13th,Peter,King,20.68,"[18.26, 21.16, 22.2, 21.81, 19.07]"
14th,Andrew,Bradford,20.68,"[20.38, 27.11, 19.47, 22.0, 19.65]"
15th,Bill,Meadows,20.73,"[20.14, 20.05, 23.04, 19.98, 22.0]"
16th,Kayla,Johnson,20.79,"['DNF', 20.84, 19.1, 22.43, 18.76]"
17th,Robert,Young,20.94,"[20.97, 23.88, 20.35, 19.27, 21.49]"
18th,Jacob,Garcia,20.95,"[19.26, 23.84, 23.04, 20.56, 18.5]"
19th,Elizabeth,Williams,20.97,"[22.6, 21.8, 20.83, 20.29, 20.24]"
20th,Daria,Buchkovsky,20.98,"[17.92, 20.57, 25.27, 16.23, 24.45]"
21st,Jessica,Lane,21.31,"[22.05, 20.73, 22.04, 19.9, 21.15]"
22nd,Anita,Buchanan,21.31,"[22.18, 24.07, 20.33, 20.43, 21.32]"
23rd,Amanda,Davis,21.35,"[21.06, 19.65, 22.09, 20.94, 22.05]"
24th,David,Heath,21.37,"[20.51, 22.14, 21.46, 22.17, 19.97]"
25th,Maggie,Silver,21.39,"['DNF', 21.04, 16.21, 19.07, 24.07]"
26th,Robin,Wells,21.39,"[19.45, 20.13, 14.95, 24.58, 24.94]"
27th,Brett,Hill,21.43,"[17.85, 20.0, 24.6, 23.36, 20.93]"
28th,Jason,Martin,21.45,"[21.08, 21.81, 21.47, 19.86, 21.83]"
29th,Tracy,Kelley,21.5,"[19.78, 22.97, 20.73, 21.19, 22.59]"
30th,Denise,Harrison,21.52,"[19.2, 18.71, 23.36, 22.0, 24.09]"
31st,Henry,Hunter,21.57,"[21.38, 15.16, 22.86, 21.63, 21.69]"
32nd,Suzanne,Weiss,21.57,"[19.19, 21.15, 22.15, 21.4, 22.3]"
33rd,Jeanette,King,21.61,"[21.78, 22.9, 21.49, 21.24, 21.57]"
34th,Sheila,Johnson,21.64,"[22.88, 20.43, 24.07, 20.42, 21.61]"
35th,George,Wright,21.7,"[22.54, 23.31, 21.84, 20.73, 20.57]"
36th,Alyssa,Murillo,21.84,"[19.63, 25.05, 23.54, 18.32, 22.35]"
37th,Taylor,Roach,21.84,"[23.38, 22.86, 19.29, 18.5, 23.64]"
38th,Eric,Graham,21.95,"[15.74, 20.96, 'DNF', 22.7, 22.2]"
39th,Scott,Bryant,21.95,"[22.71, 20.37, 21.03, 22.78, 22.1]"
40th,Ryan,Stoyko,21.98,"[22.33, 26.68, 21.18, 18.52, 22.42]"
41st,Daniel,Mendoza,22.04,"[20.61, 24.7, 21.64, 18.35, 23.86]"
42nd,Sarah,Underwood,22.09,"[21.41, 21.58, 24.25, 23.27, 20.54]"
43rd,Stephanie,Cain,22.17,"[19.39, 22.26, 22.77, 22.59, 21.67]"
44th,Conor,Evans,22.17,"[23.6, 21.93, 21.34, 19.44, 23.25]"
45th,David,Long,22.23,"[24.83, 23.03, 22.09, 21.56, 19.05]"
46th,Karen,Castro,22.3,"[22.32, 23.41, 20.15, 22.72, 21.85]"
47th,Tiffany,Dixon,22.59,"[22.78, 21.58, 22.92, 23.03, 22.07]"
48th,Stacey,Matthews,22.67,"[21.71, 21.5, 22.43, 23.88, 24.67]"
49th,Clinton,Buck,23.27,"[21.6, 23.67, 23.87, 24.36, 22.28]"
50th,Tammy,Powers,23.4,"[23.14, 23.73, 25.33, 18.82, 23.33]"
